window_key,window,participant,asc_file,block,image,sentence_type,patient_animacy,agent_num,patient_num,condition_key,condition,filename_suffix,rt,time_bin50,time_rel,agent_prop,patient_prop,n_samples
linguistic_encoding_1,Linguistic encoding I,К04,k04.asc,33,burn-2-2-r.png,inverse,inanimate,2,2,inverse_apv,Inverse APV,apv,2799.000000,12,0.000000,0.000000,1.000000,49
linguistic_encoding_1,Linguistic encoding I,К04,k04.asc,33,burn-2-2-r.png,inverse,inanimate,2,2,inverse_apv,Inverse APV,apv,2799.000000,13,0.050000,0.000000,0.880000,50
linguistic_encoding_1,Linguistic encoding I,К04,k04.asc,33,burn-2-2-r.png,inverse,inanimate,2,2,inverse_apv,Inverse APV,apv,2799.000000,14,0.100000,0.000000,0.200000,50
linguistic_encoding_1,Linguistic encoding I,К04,k04.asc,33,burn-2-2-r.png,inverse,inanimate,2,2,inverse_apv,Inverse APV,apv,2799.000000,15,0.150000,0.000000,0.000000,50
linguistic_encoding_1,Linguistic encoding I,К04,k04.asc,33,burn-2-2-r.png,inverse,inanimate,2,2,inverse_apv,Inverse APV,apv,2799.000000,16,0.200000,0.000000,0.000000,50
linguistic_encoding_1,Linguistic encoding I,К04,k04.asc,33,burn-2-2-r.png,inverse,inanimate,2,2,inverse_apv,Inverse APV,apv,2799.000000,17,0.250000,0.000000,0.000000,50
linguistic_encoding_1,Linguistic encoding I,К04,k04.asc,33,burn-2-2-r.png,inverse,inanimate,2,2,inverse_apv,Inverse APV,apv,2799.000000,18,0.300000,0.000000,0.000000,50
linguistic_encoding_1,Linguistic encoding I,К04,k04.asc,33,burn-2-2-r.png,inverse,inanimate,2,2,inverse_apv,Inverse APV,apv,2799.000000,19,0.350000,0.000000,0.000000,50
linguistic_encoding_1,Linguistic encoding I,К04,k04.asc,33,burn-2-2-r.png,inverse,inanimate,2,2,inverse_apv,Inverse APV,apv,2799.000000,20,0.400000,0.000000,0.000000,50
linguistic_encoding_1,Linguistic encoding I,К04,k04.asc,33,burn-2-2-r.png,inverse,inanimate,2,2,inverse_apv,Inverse APV,apv,2799.000000,21,0.450000,0.000000,0.000000,50
linguistic_encoding_1,Linguistic encoding I,К04,k04.asc,33,burn-2-2-r.png,inverse,inanimate,2,2,inverse_apv,Inverse APV,apv,2799.000000,22,0.500000,0.000000,0.000000,50
linguistic_encoding_1,Linguistic encoding I,К04,k04.asc,33,burn-2-2-r.png,inverse,inanimate,2,2,inverse_apv,Inverse APV,apv,2799.000000,23,0.550000,0.360000,0.120000,50
linguistic_encoding_1,Linguistic encoding I,К04,k04.asc,33,burn-2-2-r.png,inverse,inanimate,2,2,inverse_apv,Inverse APV,apv,2799.000000,24,0.550000,1.000000,0.000000,50
linguistic_encoding_1,Linguistic encoding I,К04,k04.asc,33,burn-2-2-r.png,inverse,inanimate,2,2,inverse_apv,Inverse APV,apv,2799.000000,25,0.600000,1.000000,0.000000,50
linguistic_encoding_1,Linguistic encoding I,К04,k04.asc,33,burn-2-2-r.png,inverse,inanimate,2,2,inverse_apv,Inverse APV,apv,2799.000000,26,0.650000,1.000000,0.000000,50
linguistic_encoding_1,Linguistic encoding I,К04,k04.asc,33,burn-2-2-r.png,inverse,inanimate,2,2,inverse_apv,Inverse APV,apv,2799.000000,27,0.700000,1.000000,0.000000,50
linguistic_encoding_1,Linguistic encoding I,К04,k04.asc,33,burn-2-2-r.png,inverse,inanimate,2,2,inverse_apv,Inverse APV,apv,2799.000000,28,0.750000,1.000000,0.000000,50
linguistic_encoding_1,Linguistic encoding I,К04,k04.asc,33,burn-2-2-r.png,inverse,inanimate,2,2,inverse_apv,Inverse APV,apv,2799.000000,29,0.800000,1.000000,0.000000,50
linguistic_encoding_1,Linguistic encoding I,К04,k04.asc,33,burn-2-2-r.png,inverse,inanimate,2,2,inverse_apv,Inverse APV,apv,2799.000000,30,0.850000,1.000000,0.000000,50
linguistic_encoding_1,Linguistic encoding I,К04,k04.asc,33,burn-2-2-r.png,inverse,inanimate,2,2,inverse_apv,Inverse APV,apv,2799.000000,31,0.900000,1.000000,0.000000,50
linguistic_encoding_1,Linguistic encoding I,К04,k04.asc,33,burn-2-2-r.png,inverse,inanimate,2,2,inverse_apv,Inverse APV,apv,2799.000000,32,0.950000,1.000000,0.000000,50
linguistic_encoding_1,Linguistic encoding I,К04,k04.asc,33,burn-2-2-r.png,inverse,inanimate,2,2,inverse_apv,Inverse APV,apv,2799.000000,33,1.000000,1.000000,0.000000,50
linguistic_encoding_2,Linguistic encoding II,К04,k04.asc,33,burn-2-2-r.png,inverse,inanimate,2,2,inverse_apv,Inverse APV,apv,2799.000000,0,0.000000,1.000000,0.000000,50
linguistic_encoding_2,Linguistic encoding II,К04,k04.asc,33,burn-2-2-r.png,inverse,inanimate,2,2,inverse_apv,Inverse APV,apv,2799.000000,1,0.050000,1.000000,0.000000,50
linguistic_encoding_2,Linguistic encoding II,К04,k04.asc,33,burn-2-2-r.png,inverse,inanimate,2,2,inverse_apv,Inverse APV,apv,2799.000000,2,0.100000,1.000000,0.000000,50
linguistic_encoding_2,Linguistic encoding II,К04,k04.asc,33,burn-2-2-r.png,inverse,inanimate,2,2,inverse_apv,Inverse APV,apv,2799.000000,3,0.150000,1.000000,0.000000,50
linguistic_encoding_2,Linguistic encoding II,К04,k04.asc,33,burn-2-2-r.png,inverse,inanimate,2,2,inverse_apv,Inverse APV,apv,2799.000000,4,0.200000,1.000000,0.000000,50
