window_key,window,referent,comparison_key,comparison,contrast_coding,term,estimate,ci_95_lower,ci_95_upper,p_beta_gt_0,n_bin_rows,n_trials_with_gaze,n_positive_trials,n_negative_trials
speech_planning,Speech planning,patient,inverse_2_1_vs_inverse_2_2,Inverse 2 agents/1 patient vs inverse 2 agents/2 patients,+1 inverse 2-1; -1 inverse 2-2,time2:contrast,6.727427144668527,5.703090267643262,7.7464370005096574,1.0,3817,347,184,163
speech_planning,Speech planning,patient,inverse_2_1_vs_inverse_2_2,Inverse 2 agents/1 patient vs inverse 2 agents/2 patients,+1 inverse 2-1; -1 inverse 2-2,time3:contrast,-6.890214322517184,-10.478593613587456,-3.2230964965551014,0.0001,3817,347,184,163
speech_planning,Speech planning,agent,direct_animate_vs_inanimate,Direct animate patient vs direct inanimate patient,+1 direct animate; -1 direct inanimate,contrast,-0.7531729919107326,-1.925923007007128,0.4537203374455838,0.1088,5170,470,240,230
speech_planning,Speech planning,agent,direct_animate_vs_inanimate,Direct animate patient vs direct inanimate patient,+1 direct animate; -1 direct inanimate,time:contrast,1.5465699665422097,0.975695936353148,2.1303010989627187,1.0,5170,470,240,230
speech_planning,Speech planning,agent,direct_animate_vs_inanimate,Direct animate patient vs direct inanimate patient,+1 direct animate; -1 direct inanimate,time2:contrast,3.4340638717154186,2.575614311731771,4.27761527370951,1.0,5170,470,240,230
speech_planning,Speech planning,agent,direct_animate_vs_inanimate,Direct animate patient vs direct inanimate patient,+1 direct animate; -1 direct inanimate,time3:contrast,-6.253603153797428,-9.405441432924082,-3.053585731349232,0.0001,5170,470,240,230
speech_planning,Speech planning,patient,direct_animate_vs_inanimate,Direct animate patient vs direct inanimate patient,+1 direct animate; -1 direct inanimate,contrast,0.3983748136954456,-0.7305568858131412,1.5449120744081932,0.75455,5170,470,240,230
speech_planning,Speech planning,patient,direct_animate_vs_inanimate,Direct animate patient vs direct inanimate patient,+1 direct animate; -1 direct inanimate,time:contrast,-0.8890399316352011,-1.4702091744438655,-0.29638772586637646,0.00155,5170,470,240,230
speech_planning,Speech planning,patient,direct_animate_vs_inanimate,Direct animate patient vs direct inanimate patient,+1 direct animate; -1 direct inanimate,time2:contrast,-3.2587717913426903,-4.123903158519431,-2.3824174310672106,0.0,5170,470,240,230
speech_planning,Speech planning,patient,direct_animate_vs_inanimate,Direct animate patient vs direct inanimate patient,+1 direct animate; -1 direct inanimate,time3:contrast,1.1152337587754726,-2.0396106542219608,4.2652579219026565,0.7569,5170,470,240,230
speech_planning,Speech planning,agent,inverse_animate_vs_inanimate,Inverse animate patient vs inverse inanimate patient,+1 inverse animate; -1 inverse inanimate,contrast,-0.8593705672864426,-2.162307179868902,0.46356000654643703,0.1012,3960,360,186,174
speech_planning,Speech planning,agent,inverse_animate_vs_inanimate,Inverse animate patient vs inverse inanimate patient,+1 inverse animate; -1 inverse inanimate,time:contrast,1.2898635820334954,0.6445676063929925,1.9471423484651793,1.0,3960,360,186,174
speech_planning,Speech planning,agent,inverse_animate_vs_inanimate,Inverse animate patient vs inverse inanimate patient,+1 inverse animate; -1 inverse inanimate,time2:contrast,3.760084867251763,2.7670976221225136,4.747822040676039,1.0,3960,360,186,174
speech_planning,Speech planning,agent,inverse_animate_vs_inanimate,Inverse animate patient vs inverse inanimate patient,+1 inverse animate; -1 inverse inanimate,time3:contrast,-5.891514594858907,-9.455227224966336,-2.377544479135309,0.00075,3960,360,186,174
speech_planning,Speech planning,patient,inverse_animate_vs_inanimate,Inverse animate patient vs inverse inanimate patient,+1 inverse animate; -1 inverse inanimate,contrast,0.9478636183757442,-0.2976331034406674,2.1873302933988823,0.9309,3960,360,186,174
speech_planning,Speech planning,patient,inverse_animate_vs_inanimate,Inverse animate patient vs inverse inanimate patient,+1 inverse animate; -1 inverse inanimate,time:contrast,-0.8997104822914062,-1.57348630722281,-0.240569452504637,0.0047,3960,360,186,174
speech_planning,Speech planning,patient,inverse_animate_vs_inanimate,Inverse animate patient vs inverse inanimate patient,+1 inverse animate; -1 inverse inanimate,time2:contrast,-4.049864753257775,-5.084345591547327,-3.0179018370431883,0.0,3960,360,186,174
speech_planning,Speech planning,patient,inverse_animate_vs_inanimate,Inverse animate patient vs inverse inanimate patient,+1 inverse animate; -1 inverse inanimate,time3:contrast,3.7478893394967816,0.13634570875199517,7.363613906129658,0.9789,3960,360,186,174
linguistic_encoding_1,Linguistic encoding I,agent,all_direct_vs_all_inverse,All direct vs all inverse,+1 direct; -1 inverse,contrast,0.09806610368314544,-0.03458245760312433,0.2300438998707989,0.9291,17365,830,470,360
linguistic_encoding_1,Linguistic encoding I,agent,all_direct_vs_all_inverse,All direct vs all inverse,+1 direct; -1 inverse,time:contrast,0.2975258201252758,-0.04986196403498264,0.6402754978437365,0.95285,17365,830,470,360
linguistic_encoding_1,Linguistic encoding I,agent,all_direct_vs_all_inverse,All direct vs all inverse,+1 direct; -1 inverse,time2:contrast,0.34981108589335663,-0.18919486541042568,0.877681771987514,0.90215,17365,830,470,360
linguistic_encoding_1,Linguistic encoding I,agent,all_direct_vs_all_inverse,All direct vs all inverse,+1 direct; -1 inverse,time3:contrast,-0.5113614916376268,-2.4969709046757487,1.4815088821741786,0.30835,17365,830,470,360
linguistic_encoding_1,Linguistic encoding I,patient,all_direct_vs_all_inverse,All direct vs all inverse,+1 direct; -1 inverse,contrast,0.06900790443751312,-0.05840368273368875,0.1961297674461533,0.85565,17365,830,470,360
linguistic_encoding_1,Linguistic encoding I,patient,all_direct_vs_all_inverse,All direct vs all inverse,+1 direct; -1 inverse,time:contrast,-0.21002601713980248,-0.5665797849693923,0.1442333632378866,0.12325,17365,830,470,360
linguistic_encoding_1,Linguistic encoding I,patient,all_direct_vs_all_inverse,All direct vs all inverse,+1 direct; -1 inverse,time2:contrast,-0.292453630392724,-0.8420006195727577,0.2590774727885527,0.1463,17365,830,470,360
linguistic_encoding_1,Linguistic encoding I,patient,all_direct_vs_all_inverse,All direct vs all inverse,+1 direct; -1 inverse,time3:contrast,0.9338742982576892,-1.130551781118235,3.002401154849636,0.81295,17365,830,470,360
linguistic_encoding_1,Linguistic encoding I,agent,direct_1_1_vs_direct_1_2,Direct 1 agent/1 patient vs direct 1 agent/2 patients,+1 direct 1-1; -1 direct 1-2,contrast,0.13869663195042573,-1.2496850442796623,1.552389491910671,0.57575,8033,392,194,198
linguistic_encoding_1,Linguistic encoding I,agent,direct_1_1_vs_direct_1_2,Direct 1 agent/1 patient vs direct 1 agent/2 patients,+1 direct 1-1; -1 direct 1-2,time:contrast,-0.19864562066617028,-0.706846815151937,0.31108854392609814,0.22015,8033,392,194,198
linguistic_encoding_1,Linguistic encoding I,agent,direct_1_1_vs_direct_1_2,Direct 1 agent/1 patient vs direct 1 agent/2 patients,+1 direct 1-1; -1 direct 1-2,time2:contrast,-0.12008185736945032,-0.9028240680325273,0.6502359542599159,0.38625,8033,392,194,198
linguistic_encoding_1,Linguistic encoding I,agent,direct_1_1_vs_direct_1_2,Direct 1 agent/1 patient vs direct 1 agent/2 patients,+1 direct 1-1; -1 direct 1-2,time3:contrast,1.3547015134679186,-1.5898173107674294,4.299847563997374,0.8184,8033,392,194,198
linguistic_encoding_1,Linguistic encoding I,patient,direct_1_1_vs_direct_1_2,Direct 1 agent/1 patient vs direct 1 agent/2 patients,+1 direct 1-1; -1 direct 1-2,contrast,0.16616251747097566,-1.0452475728454562,1.3750191797246063,0.60685,8033,392,194,198
linguistic_encoding_1,Linguistic encoding I,patient,direct_1_1_vs_direct_1_2,Direct 1 agent/1 patient vs direct 1 agent/2 patients,+1 direct 1-1; -1 direct 1-2,time:contrast,0.5039865007662145,-0.01063108076016322,1.0197107151892328,0.97235,8033,392,194,198
linguistic_encoding_1,Linguistic encoding I,patient,direct_1_1_vs_direct_1_2,Direct 1 agent/1 patient vs direct 1 agent/2 patients,+1 direct 1-1; -1 direct 1-2,time2:contrast,1.3329700601477017,0.5647705843639952,2.1071275316884903,0.99955,8033,392,194,198
linguistic_encoding_1,Linguistic encoding I,patient,direct_1_1_vs_direct_1_2,Direct 1 agent/1 patient vs direct 1 agent/2 patients,+1 direct 1-1; -1 direct 1-2,time3:contrast,-4.4943897272769044,-7.4727446576972225,-1.5517623368953626,0.00155,8033,392,194,198
linguistic_encoding_1,Linguistic encoding I,agent,inverse_2_1_vs_inverse_2_2,Inverse 2 agents/1 patient vs inverse 2 agents/2 patients,+1 inverse 2-1; -1 inverse 2-2,contrast,-0.34424879216283816,-1.7032277062924315,1.0190745883131607,0.31095,7442,347,184,163
linguistic_encoding_1,Linguistic encoding I,agent,inverse_2_1_vs_inverse_2_2,Inverse 2 agents/1 patient vs inverse 2 agents/2 patients,+1 inverse 2-1; -1 inverse 2-2,time:contrast,0.17686356525264987,-0.35664338602682544,0.70979047246795,0.74025,7442,347,184,163
linguistic_encoding_1,Linguistic encoding I,agent,inverse_2_1_vs_inverse_2_2,Inverse 2 agents/1 patient vs inverse 2 agents/2 patients,+1 inverse 2-1; -1 inverse 2-2,time2:contrast,0.8937822816220203,0.07779517820007754,1.7052795282206268,0.98355,7442,347,184,163
linguistic_encoding_1,Linguistic encoding I,agent,inverse_2_1_vs_inverse_2_2,Inverse 2 agents/1 patient vs inverse 2 agents/2 patients,+1 inverse 2-1; -1 inverse 2-2,time3:contrast,-2.817239019130173,-5.947281476927355,0.23893204551221772,0.0362,7442,347,184,163
