window_key,window,referent,comparison_key,comparison,contrast_coding,term,estimate,ci_95_lower,ci_95_upper,p_beta_gt_0,n_bin_rows,n_trials_with_gaze,n_positive_trials,n_negative_trials
speech_planning,Speech planning,patient,direct_1_1_vs_direct_1_2,Direct 1 agent/1 patient vs direct 1 agent/2 patients,+1 direct 1-1; -1 direct 1-2,time,-1.2163610362625312,-1.8480505500392483,-0.5778997252588459,5e-05,4312,392,194,198
speech_planning,Speech planning,patient,direct_1_1_vs_direct_1_2,Direct 1 agent/1 patient vs direct 1 agent/2 patients,+1 direct 1-1; -1 direct 1-2,time2,-3.7635947639871907,-4.714564711069509,-2.811151990642916,0.0,4312,392,194,198
speech_planning,Speech planning,patient,direct_1_1_vs_direct_1_2,Direct 1 agent/1 patient vs direct 1 agent/2 patients,+1 direct 1-1; -1 direct 1-2,time3,7.884999028566065,4.375347145469415,11.38727983712623,1.0,4312,392,194,198
speech_planning,Speech planning,patient,direct_1_1_vs_direct_1_2,Direct 1 agent/1 patient vs direct 1 agent/2 patients,+1 direct 1-1; -1 direct 1-2,contrast,0.5951682319808453,-0.7340184775163504,1.925343380908476,0.81125,4312,392,194,198
speech_planning,Speech planning,patient,direct_1_1_vs_direct_1_2,Direct 1 agent/1 patient vs direct 1 agent/2 patients,+1 direct 1-1; -1 direct 1-2,time:contrast,-0.8896722072133735,-1.5346865527196105,-0.24922419473211643,0.0025,4312,392,194,198
speech_planning,Speech planning,patient,direct_1_1_vs_direct_1_2,Direct 1 agent/1 patient vs direct 1 agent/2 patients,+1 direct 1-1; -1 direct 1-2,time2:contrast,-5.285980672538186,-6.225834739666144,-4.317662306351268,0.0,4312,392,194,198
speech_planning,Speech planning,patient,direct_1_1_vs_direct_1_2,Direct 1 agent/1 patient vs direct 1 agent/2 patients,+1 direct 1-1; -1 direct 1-2,time3:contrast,10.682202952765998,7.209243391996503,14.166308334643162,1.0,4312,392,194,198
speech_planning,Speech planning,agent,inverse_2_1_vs_inverse_2_2,Inverse 2 agents/1 patient vs inverse 2 agents/2 patients,+1 inverse 2-1; -1 inverse 2-2,Intercept,0.5872210826915051,-0.7635792942617182,1.946092637201928,0.80545,3817,347,184,163
speech_planning,Speech planning,agent,inverse_2_1_vs_inverse_2_2,Inverse 2 agents/1 patient vs inverse 2 agents/2 patients,+1 inverse 2-1; -1 inverse 2-2,time,0.10848556792549979,-0.5491916056192165,0.7595888219145395,0.62755,3817,347,184,163
speech_planning,Speech planning,agent,inverse_2_1_vs_inverse_2_2,Inverse 2 agents/1 patient vs inverse 2 agents/2 patients,+1 inverse 2-1; -1 inverse 2-2,time2,-6.000878475253143,-6.993655920157466,-5.0000079299362215,0.0,3817,347,184,163
speech_planning,Speech planning,agent,inverse_2_1_vs_inverse_2_2,Inverse 2 agents/1 patient vs inverse 2 agents/2 patients,+1 inverse 2-1; -1 inverse 2-2,time3,9.677366491007884,6.128267710370893,13.176032824222153,1.0,3817,347,184,163
speech_planning,Speech planning,agent,inverse_2_1_vs_inverse_2_2,Inverse 2 agents/1 patient vs inverse 2 agents/2 patients,+1 inverse 2-1; -1 inverse 2-2,contrast,1.3063042568719914,-0.03704465849256474,2.6385226858977227,0.9719,3817,347,184,163
speech_planning,Speech planning,agent,inverse_2_1_vs_inverse_2_2,Inverse 2 agents/1 patient vs inverse 2 agents/2 patients,+1 inverse 2-1; -1 inverse 2-2,time:contrast,0.0626098842232052,-0.5837145930882445,0.7111287370370676,0.57295,3817,347,184,163
speech_planning,Speech planning,agent,inverse_2_1_vs_inverse_2_2,Inverse 2 agents/1 patient vs inverse 2 agents/2 patients,+1 inverse 2-1; -1 inverse 2-2,time2:contrast,-6.295610068162237,-7.289024603965093,-5.31667330926636,0.0,3817,347,184,163
speech_planning,Speech planning,agent,inverse_2_1_vs_inverse_2_2,Inverse 2 agents/1 patient vs inverse 2 agents/2 patients,+1 inverse 2-1; -1 inverse 2-2,time3:contrast,5.016931260435135,1.4167218647086315,8.59223260813684,0.9971,3817,347,184,163
speech_planning,Speech planning,patient,inverse_2_1_vs_inverse_2_2,Inverse 2 agents/1 patient vs inverse 2 agents/2 patients,+1 inverse 2-1; -1 inverse 2-2,Intercept,-1.4206108911672033,-2.6827467881351184,-0.16548342780011718,0.0132,3817,347,184,163
speech_planning,Speech planning,patient,inverse_2_1_vs_inverse_2_2,Inverse 2 agents/1 patient vs inverse 2 agents/2 patients,+1 inverse 2-1; -1 inverse 2-2,time,-1.0693582788549865,-1.7268776659535419,-0.4181220139019337,0.00105,3817,347,184,163
speech_planning,Speech planning,patient,inverse_2_1_vs_inverse_2_2,Inverse 2 agents/1 patient vs inverse 2 agents/2 patients,+1 inverse 2-1; -1 inverse 2-2,time2,-3.1583688951697213,-4.189881440117909,-2.122090169313912,0.0,3817,347,184,163
speech_planning,Speech planning,patient,inverse_2_1_vs_inverse_2_2,Inverse 2 agents/1 patient vs inverse 2 agents/2 patients,+1 inverse 2-1; -1 inverse 2-2,time3,6.591119143947735,2.903661344181611,10.206940148088488,0.99995,3817,347,184,163
speech_planning,Speech planning,patient,inverse_2_1_vs_inverse_2_2,Inverse 2 agents/1 patient vs inverse 2 agents/2 patients,+1 inverse 2-1; -1 inverse 2-2,contrast,-1.3218847931242144,-2.580226379419907,-0.07391473599962216,0.0195,3817,347,184,163
speech_planning,Speech planning,patient,inverse_2_1_vs_inverse_2_2,Inverse 2 agents/1 patient vs inverse 2 agents/2 patients,+1 inverse 2-1; -1 inverse 2-2,time:contrast,-0.3949460824219221,-1.0625528344522073,0.2674614181535254,0.11965,3817,347,184,163
speech_planning,Speech planning,patient,inverse_2_1_vs_inverse_2_2,Inverse 2 agents/1 patient vs inverse 2 agents/2 patients,+1 inverse 2-1; -1 inverse 2-2,time2:contrast,6.727427144668527,5.703090267643262,7.7464370005096574,1.0,3817,347,184,163
speech_planning,Speech planning,patient,inverse_2_1_vs_inverse_2_2,Inverse 2 agents/1 patient vs inverse 2 agents/2 patients,+1 inverse 2-1; -1 inverse 2-2,time3:contrast,-6.890214322517184,-10.478593613587456,-3.2230964965551014,0.0001,3817,347,184,163
speech_planning,Speech planning,agent,direct_animate_vs_inanimate,Direct animate patient vs direct inanimate patient,+1 direct animate; -1 direct inanimate,Intercept,0.5923697316250719,-0.5983421603478166,1.7942328170601396,0.83775,5170,470,240,230
speech_planning,Speech planning,agent,direct_animate_vs_inanimate,Direct animate patient vs direct inanimate patient,+1 direct animate; -1 direct inanimate,time,1.127576294272438,0.5377521639419428,1.7189942802529796,1.0,5170,470,240,230
speech_planning,Speech planning,agent,direct_animate_vs_inanimate,Direct animate patient vs direct inanimate patient,+1 direct animate; -1 direct inanimate,time2,-3.453948099647061,-4.316404801567632,-2.57867148945629,0.0,5170,470,240,230
speech_planning,Speech planning,agent,direct_animate_vs_inanimate,Direct animate patient vs direct inanimate patient,+1 direct animate; -1 direct inanimate,time3,2.907018940108406,-0.23279840247908662,6.046448513269381,0.96445,5170,470,240,230
speech_planning,Speech planning,agent,direct_animate_vs_inanimate,Direct animate patient vs direct inanimate patient,+1 direct animate; -1 direct inanimate,contrast,-0.7531729919107326,-1.925923007007128,0.4537203374455838,0.1088,5170,470,240,230
speech_planning,Speech planning,agent,direct_animate_vs_inanimate,Direct animate patient vs direct inanimate patient,+1 direct animate; -1 direct inanimate,time:contrast,1.5465699665422097,0.975695936353148,2.1303010989627187,1.0,5170,470,240,230
