sentence_type,n,mean_rt_ms,sd_rt_ms,median_rt_ms,min_rt_ms,max_rt_ms,khanty_style_2se_ms
direct,496,2573.6229838709664,1081.1976192700015,2330.5,1029,5981,97.094412479809307
inverse,383,2645.5613577023505,1114.7990266933666,2337,1105,5981,113.92713854609019
