term,estimate_log_ms,std_error,df,t_value,p_value,ci_95_lower_log_ms,ci_95_upper_log_ms,ratio_direct_to_inverse,percent_change_direct_vs_inverse,ci_95_lower_ratio,ci_95_upper_ratio
(Intercept),7.9124008793995735,0.07006509695381491,17.412625646665226,112.92927896203759,2.1329615702216855e-26,7.775075812796789,8.049725946002358,2730.939257571068,272993.9257571068,2380.5237674168034,3132.936259920567
direct,-0.04993289252067821,0.032498258379603434,106.87577003209073,-1.5364790302737301,0.1273762260331597,-0.11362830850497793,0.013762523463621522,0.9512932612515868,-4.870673874841325,0.8925896622183687,1.0138576629417482
