participant,item,rt,fluency,sentence_type,word_order,direct
К01,open-2-1-l.png,1561,yes,inverse,AVP,0
К01,treat-1-1-r.png,1801,yes,direct,AVP,1
К01,throw-2-2-r.png,2264,yes,inverse,AVP,0
К01,scold-2-1-l.png,1360,yes,inverse,AVP,0
К01,paint-1-1-r.png,1239,yes,direct,AVP,1
К03,call-1-1-r.png,2237,yes,direct,AVP,1
К03,feed-1-2-l.png,3479,yes,direct,AVP,1
К03,eat-2-1-l.png,2511,yes,inverse,AVP,0
К03,pick-1-1-r.png,1615,yes,direct,AVP,1
К03,makelaugh-2-1-l.png,4121,yes,inverse,AVP,0
К03,carry-1-2-l.png,2685,yes,direct,AVP,1
К03,open-2-2-r.png,2520,yes,inverse,AVP,0
К03,dress-1-2-l.png,3123,yes,direct,AVP,1
К03,cut_hair-2-2-r.png,1714,yes,inverse,AVP,0
К03,cover-1-1-r.png,4668,yes,direct,AVP,1
К03,wash-2-1-l.png,2592,yes,inverse,AVP,0
К03,paint-1-2-l.png,3612,yes,direct,AVP,1
К03,give_water-1-1-r.png,2857,yes,direct,AVP,1
К03,clean-2-2-r.png,2996,yes,inverse,AVP,0
К03,water-2-1-l.png,2358,yes,inverse,AVP,0
К03,pour-2-2-r.png,3021,yes,inverse,AVP,0
К03,tie-2-1-l.png,3088,yes,inverse,AVP,0
К03,boil-1-2-l.png,3205,yes,direct,AVP,1
К03,shoot-1-1-r.png,1909,yes,direct,AVP,1
К03,hang-2-2-r.png,3872,yes,inverse,AVP,0
К03,treat-1-2-l.png,2384,yes,direct,AVP,1
К03,pull-2-1-l.png,2747,yes,inverse,AVP,0
К03,scold-2-2-r.png,2232,yes,inverse,AVP,0
К03,burn-1-1-r.png,3065,yes,direct,AVP,1
К03,hit-2-1-l.png,2290,yes,inverse,AVP,0
К03,give_water-2-1-l.png,5903,yes,inverse,AVP,0
К03,eat-1-1-r.png,2662,yes,direct,AVP,1
К03,pour-1-2-l.png,2227,yes,direct,AVP,1
К03,pick-2-1-l.png,1678,yes,inverse,AVP,0
К03,tie-1-1-r.png,1515,yes,direct,AVP,1
К03,carry-2-2-r.png,1988,yes,inverse,AVP,0
К03,call-2-1-l.png,2126,yes,inverse,AVP,0
