model,term,estimate,ci_95_lower,ci_95_upper,p_beta_gt_0
agent_looks,Intercept,0.09971304095358174,-0.4149031981786917,0.7688702666661361,0.6
agent_looks,polytimedegreeEQ31,-44.645607589305875,-66.03800280951242,-10.103985886728932,0
agent_looks,polytimedegreeEQ32,-4.787763849947827,-8.40900295912442,0.12271968713774842,0.03333333333333333
agent_looks,polytimedegreeEQ33,-3.4761218933205837,-7.668347404123827,2.344854553249287,0.11666666666666667
agent_looks,direct_vs_inverse,-0.3406114883387343,-0.5295255199842024,-0.12341378837960347,0
agent_looks,polytimedegreeEQ31:direct_vs_inverse,-15.034864500707249,-21.27465745902002,-9.447277041352987,0
agent_looks,polytimedegreeEQ32:direct_vs_inverse,5.658656969828115,-0.9331284605682943,8.941873559300117,0.95
agent_looks,polytimedegreeEQ33:direct_vs_inverse,-3.8879516876103972,-11.090162082264499,1.5327313786504209,0.08333333333333333
patient_looks,Intercept,-0.8613132110857646,-1.4417053491111655,-0.14501907626181598,0
patient_looks,polytimedegreeEQ31,53.22452860055118,38.547573693861054,70.77050778003594,1
patient_looks,polytimedegreeEQ32,-6.162213487267013,-10.438029747984146,-1.3647074444942253,0
patient_looks,polytimedegreeEQ33,16.608512610302018,10.295693717851979,23.58400746813441,1
patient_looks,direct_vs_inverse,0.3261254100282506,0.07305595251552761,0.5931061750112765,0.9833333333333333
patient_looks,polytimedegreeEQ31:direct_vs_inverse,2.5560429619478664,-8.545452333172163,12.939434301929857,0.7333333333333333
patient_looks,polytimedegreeEQ32:direct_vs_inverse,1.0402425706699467,-4.415237176116863,6.715548024680319,0.5833333333333334
patient_looks,polytimedegreeEQ33:direct_vs_inverse,-1.5199971035151452,-6.332374111020917,3.0698706125027035,0.31666666666666665
