contrast_id,comparison,model,term,estimate,estimate_error,q2.5,q97.5,rhat,bulk_ess,tail_ess
direct_1_1_vs_direct_1_2,"direct 1 agent, 1 patient vs direct 1 agent, 2 patients",agent_looks,Intercept,0.7728330367691156,0.27846036120480444,0.22232752671906453,1.3099934142865453,1.0012349423028504,1853.9349255618454,2277.47715303215
direct_1_1_vs_direct_1_2,"direct 1 agent, 1 patient vs direct 1 agent, 2 patients",agent_looks,polytimedegreeEQ31,23.973919132238805,8.797474555772803,6.820768330283773,41.68614375747322,1.0004511217461034,2027.1917247940328,2638.6624649844616
direct_1_1_vs_direct_1_2,"direct 1 agent, 1 patient vs direct 1 agent, 2 patients",agent_looks,polytimedegreeEQ32,3.7742969599613416,2.6630644599836755,-1.324357633189187,8.9599300893301,1.000023807612523,9051.445113941316,2678.0201351070787
direct_1_1_vs_direct_1_2,"direct 1 agent, 1 patient vs direct 1 agent, 2 patients",agent_looks,polytimedegreeEQ33,-2.5750818635131916,2.5820057007380415,-7.749510779084295,2.449342835127988,1.0021591622000139,7032.673678214757,2825.79662808713
direct_1_1_vs_direct_1_2,"direct 1 agent, 1 patient vs direct 1 agent, 2 patients",agent_looks,contrast_code,0.0887734359807084,0.2236990697814708,-0.3589290219924878,0.5296235640199046,1.0024396495462269,1840.2874585703516,2266.0770871297805
direct_1_1_vs_direct_1_2,"direct 1 agent, 1 patient vs direct 1 agent, 2 patients",agent_looks,polytimedegreeEQ31:contrast_code,0.8609470111630266,7.633666903799909,-14.117667588946787,15.66981456789863,1.0003795779087206,1769.4277614980685,2233.2842099611407
direct_1_1_vs_direct_1_2,"direct 1 agent, 1 patient vs direct 1 agent, 2 patients",agent_looks,polytimedegreeEQ32:contrast_code,-0.7760550504624507,2.571803764039946,-5.7881519646140065,4.304191810184092,1.0004544072265527,7254.183016427871,3039.7665569611845
direct_1_1_vs_direct_1_2,"direct 1 agent, 1 patient vs direct 1 agent, 2 patients",agent_looks,polytimedegreeEQ33:contrast_code,2.5705880511548695,2.474467157730934,-2.1541584011996497,7.570409316135681,1.0001241038408701,6051.629794141969,3280.4255246913744
direct_1_1_vs_direct_1_2,"direct 1 agent, 1 patient vs direct 1 agent, 2 patients",patient_looks,Intercept,-1.9282507926674952,0.3555201160257214,-2.632479368669132,-1.231061401695907,1.0021939927760355,1320.3387084792694,1960.552508395579
direct_1_1_vs_direct_1_2,"direct 1 agent, 1 patient vs direct 1 agent, 2 patients",patient_looks,polytimedegreeEQ31,-38.462537365500154,10.319654922647123,-59.03031851849765,-18.218068544948302,1.0037074354571434,1560.2081656240414,2365.3120427081985
