participant,item,type,condition,word_order,sol,reaches_3500ms,last_available_sample_ms_1based,n_extracted_samples
REI_b1,8,pass,P,AV,3989.000000,yes,3500,3500
REI_b3,1,act,none,APV,2649.000000,no,2650,2650
REI_b3,10,act,none,APV,3226.000000,no,3227,3227
REI_b3,11,act,A,PV,5342.000000,yes,3500,3500
REI_b3,16,act,none,APV,2700.000000,no,2701,2701
REI_b3,17,act,A,PV,4530.000000,yes,3500,3500
REI_b3,18,pass,P,AV,3519.000000,yes,3500,3500
REI_b3,19,act,none,APV,2422.000000,no,2423,2423
REI_b3,2,act,A,APV,3788.000000,yes,3500,3500
REI_b3,21,pass,P,AV,2294.000000,no,2295,2295
REI_b3,22,act,none,APV,2709.000000,no,2710,2710
