contrast_id,comparison,model,term,estimate,estimate_error,q2.5,q97.5,rhat,bulk_ess,tail_ess
direct_1_1_inanimate_vs_inverse_2_2_inanimate,direct 1-1 inanimate patient vs inverse 2-2 inanimate patient,agent_looks,Intercept,1.2536463489923402,0.3106912634193008,0.6853493735855216,1.9128519578002017,1.0016847907127624,1422.9071968883288,2128.949105803724
direct_1_1_inanimate_vs_inverse_2_2_inanimate,direct 1-1 inanimate patient vs inverse 2-2 inanimate patient,agent_looks,polytimedegreeEQ31,43.58816363049949,12.53002061994409,19.52834557590872,68.17040190730164,1.0025041531675476,1484.4591445948581,2216.2043716155595
direct_1_1_inanimate_vs_inverse_2_2_inanimate,direct 1-1 inanimate patient vs inverse 2-2 inanimate patient,agent_looks,polytimedegreeEQ32,-2.921087824517035,10.291116060035284,-23.29827985200025,17.16370231144485,1.0015467260760806,2044.079638843879,2513.0584800463344
direct_1_1_inanimate_vs_inverse_2_2_inanimate,direct 1-1 inanimate patient vs inverse 2-2 inanimate patient,agent_looks,polytimedegreeEQ33,-9.33449695763479,4.996952956996703,-19.430278964922785,0.4197652195872965,1.0002801037743134,2298.380925069887,2839.9585317485466
direct_1_1_inanimate_vs_inverse_2_2_inanimate,direct 1-1 inanimate patient vs inverse 2-2 inanimate patient,agent_looks,contrast_code,0.059950500273422656,0.2648674457526132,-0.4638244043510551,0.5904115438814888,1.001061095285757,2231.3901360335703,2155.508767508833
direct_1_1_inanimate_vs_inverse_2_2_inanimate,direct 1-1 inanimate patient vs inverse 2-2 inanimate patient,agent_looks,polytimedegreeEQ31:contrast_code,-19.553989553713134,10.067208682582999,-39.595226089036615,-0.34661358046158797,1.002374004030389,1930.7785183123976,2494.104104933332
direct_1_1_inanimate_vs_inverse_2_2_inanimate,direct 1-1 inanimate patient vs inverse 2-2 inanimate patient,agent_looks,polytimedegreeEQ32:contrast_code,-1.6802708458686362,9.730194600638175,-20.420812046352573,17.66171883606493,1.0010602637424928,2259.0312059117514,2458.112121621556
direct_1_1_inanimate_vs_inverse_2_2_inanimate,direct 1-1 inanimate patient vs inverse 2-2 inanimate patient,agent_looks,polytimedegreeEQ33:contrast_code,-5.564877850505451,4.746677129870262,-14.968878730892898,3.694410189742311,1.0010114124415046,2963.4204627262247,2952.398345475254
direct_1_1_inanimate_vs_inverse_2_2_inanimate,direct 1-1 inanimate patient vs inverse 2-2 inanimate patient,patient_looks,Intercept,-2.4712502659823916,0.3790254233910298,-3.2421084854890956,-1.7308488713380992,1.001379890753635,1287.2297303973253,2148.350604716876
direct_1_1_inanimate_vs_inverse_2_2_inanimate,direct 1-1 inanimate patient vs inverse 2-2 inanimate patient,patient_looks,polytimedegreeEQ31,-39.747244914992976,14.97487143312964,-70.07896873448644,-9.984013902796239,1.0024920238704498,1566.6650447617071,1844.1251984455432
direct_1_1_inanimate_vs_inverse_2_2_inanimate,direct 1-1 inanimate patient vs inverse 2-2 inanimate patient,patient_looks,polytimedegreeEQ32,8.291381734551003,12.511815751165214,-15.814673730887197,33.0114337885728,1.000956462239333,2101.1845507148805,2482.670967596733
direct_1_1_inanimate_vs_inverse_2_2_inanimate,direct 1-1 inanimate patient vs inverse 2-2 inanimate patient,patient_looks,polytimedegreeEQ33,3.3263117274451073,6.309966573504561,-8.86548773851531,15.80675102646393,1.0013055965721926,2214.3572232328884,2649.8382973196444
direct_1_1_inanimate_vs_inverse_2_2_inanimate,direct 1-1 inanimate patient vs inverse 2-2 inanimate patient,patient_looks,contrast_code,0.05992298043620806,0.29848894430698625,-0.5433427502382372,0.649648313254002,1.0009591965437301,1969.817220473314,2275.119102916808
direct_1_1_inanimate_vs_inverse_2_2_inanimate,direct 1-1 inanimate patient vs inverse 2-2 inanimate patient,patient_looks,polytimedegreeEQ31:contrast_code,13.2506627793663,11.076614241683899,-8.982785280230914,35.69138262884768,1.0051557446331856,1859.0471540682518,2448.6118584687847
direct_1_1_inanimate_vs_inverse_2_2_inanimate,direct 1-1 inanimate patient vs inverse 2-2 inanimate patient,patient_looks,polytimedegreeEQ32:contrast_code,0.1473041746258561,10.382874464855574,-21.064407206037103,20.133831515906383,1.0012721735645442,1806.8403280828984,1961.2430155214224
direct_1_1_inanimate_vs_inverse_2_2_inanimate,direct 1-1 inanimate patient vs inverse 2-2 inanimate patient,patient_looks,polytimedegreeEQ33:contrast_code,-1.6578004651170575,6.731029421333671,-15.276459980294074,10.967630276498964,1.000403350906917,2597.7993776780104,3118.5159671394317
