graph_id,referent,time_bin_start_ms,mean_prop,sd_prop,n_trial_bins,lower,upper
act_all,patient,850,0.282512,0.436148,414,0.239641,0.325383
act_all,patient,900,0.266184,0.425728,414,0.224337,0.308030
act_all,patient,950,0.265652,0.428134,414,0.223569,0.307735
act_all,patient,1000,0.274783,0.434386,414,0.232085,0.317480
act_all,patient,1050,0.286812,0.438482,414,0.243711,0.329912
act_all,patient,1100,0.275894,0.433375,414,0.233295,0.318492
act_all,patient,1150,0.274686,0.433550,414,0.232070,0.317302
act_all,patient,1200,0.297826,0.441672,414,0.254412,0.341240
act_all,patient,1250,0.323285,0.456126,414,0.278450,0.368120
act_all,patient,1300,0.334493,0.465311,414,0.288755,0.380230
act_all,patient,1350,0.343043,0.460078,414,0.297820,0.388267
act_all,patient,1400,0.344058,0.465238,414,0.298328,0.389788
act_all,patient,1450,0.349903,0.459274,414,0.304759,0.395048
act_all,patient,1500,0.348309,0.462530,414,0.302845,0.393773
act_all,patient,1550,0.340242,0.460680,414,0.294959,0.385524
act_all,patient,1600,0.358116,0.463570,414,0.312549,0.403682
act_all,patient,1650,0.364589,0.469305,414,0.318459,0.410720
act_all,patient,1700,0.369855,0.471568,414,0.323502,0.416208
act_all,patient,1750,0.364493,0.470318,414,0.318263,0.410723
act_all,patient,1800,0.357101,0.467355,414,0.311163,0.403040
act_all,patient,1850,0.361884,0.471863,414,0.315502,0.408266
act_all,patient,1900,0.374976,0.473569,414,0.328427,0.421525
act_all,patient,1950,0.390386,0.470258,414,0.344163,0.436610
act_all,patient,2000,0.394300,0.471914,414,0.347913,0.440686
act_all,patient,2050,0.399903,0.479320,414,0.352789,0.447018
act_all,patient,2100,0.413768,0.481721,414,0.366418,0.461119
act_all,patient,2150,0.420966,0.479381,414,0.373846,0.468087
act_all,patient,2200,0.420048,0.473772,414,0.373479,0.466618
act_all,patient,2250,0.421111,0.485022,414,0.373436,0.468786
act_all,patient,2300,0.407729,0.478462,414,0.360699,0.454760
act_all,patient,2350,0.412415,0.475153,414,0.365711,0.459120
