ppt_id,item ,cond,rep,type,wo,sol,ppt.no
IMI_b1,9,none,ok,act,APV,2764,3
IMI_b1,10,A,ok,act,APV,4575,3
IMI_b1,11,P,ok,pass,PAV,2423,3
IMI_b1,12,none,ok,act,APV,4349,3
IMI_b1,13,A,ok,act,APV,2482,3
IMI_b1,14,P,ok,pass,PAV,1754,3
IMI_b1,15,none,ok,act,APV,3813,3
IMI_b1,16,A,ok,act,APV,2396,3
IMI_b1,17,P,ok,pass,PAV,2769,3
IMI_b1,18,none,ok,act,APV,3750,3
IMI_b1,19,A,ok,act,APV,2009,3
IMI_b1,20,P,ok,pass,PAV,1789,3
IMI_b1,21,none,ok,act,APV,3892,3
IMI_b1,22,A,ok,act,APV,3556,3
IMI_b1,23,P,ok,pass,PAV,2872,3
IMI_b1,24,none,ok,act,APV,4512,3
IEM_a2,1,P,ok,pass,PAV,2430,4
IEM_a2,2,none,ok,act,APV,3458,4
IEM_a2,3,A,ok,act,APV,2219,4
IEM_a2,4,P,ok,NA,NA,6365,4
IEM_a2,5,none,ok,act,APV,2646,4
IEM_a2,6,A,-,NA,NA,2798,4
IEM_a2,7,P,-,act,APV,3275,4
IEM_a2,8,none,ok,act,APV,2287,4
IEM_a2,9,A,ok,act,PV,2383,4
IEM_a2,10,P,ok,act,APV,2394,4
IEM_a2,11,none,ok,act,APV,2050,4
IEM_a2,12,A,ok,act,APV,3360,4
IEM_a2,13,P,ok,pass,PAV,2968,4
IEM_a2,14,none,NA,NA,NA,7000,4
IEM_a2,15,A,ok,NA,NA,2911,4
IEM_a2,16,P,ok,act,P-APV,2013,4
IEM_a2,17,none,ok,pass,PVA,3889,4
IEM_a2,18,A,ok,act,APV,4486,4
IEM_a2,19,P,ok,pass,PAV,2749,4
IEM_a2,20,none,ok,act,APV,3801,4
IEM_a2,21,A,ok,act,APV,2650,4
IEM_a2,22,P,ok,pass,PAV,2716,4
IEM_a2,23,none,ok,act,APV,3878,4
IEM_a2,24,A,ok,act,APV,1867,4
IEM_b3,1,none,ok,act,APV,1349,4
IEM_b3,2,A,ok,act,APV,2640,4
IEM_b3,3,P,ok,NA,NA,2380,4
IEM_b3,4,none,ok,NA,NA,5795,4
IEM_b3,5,A,ok,act,APV,2071,4
IEM_b3,6,P,ok,pass,PVA,4730,4
IEM_b3,7,none,ok,act,APV,1893,4
IEM_b3,8,A,-,NA,NA,1472,4
IEM_b3,9,P,ok,pass,AVP,1792,4
IEM_b3,10,none,ok,act,APV,3594,4
IEM_b3,11,A,-,act,APV,2502,4
IEM_b3,12,P,ok,act,APV,2840,4
IEM_b3,13,none,ok,act,APV,3136,4
IEM_b3,14,A,ok,act,APV,2626,4
IEM_b3,15,P,ok,pass,PAV,3484,4
IEM_b3,16,none,ok,act,APV,3056,4
IEM_b3,17,A,ok,act,APV,2483,4
IEM_b3,18,P,ok,pass,PAV,3821,4
IEM_b3,19,none,ok,act,APV,3429,4
IEM_b3,20,A,ok,act,APV,4405,4
IEM_b3,21,P,ok,pass,A-PAV,1884,4
IEM_b3,22,none,ok,act,APV,3001,4
IEM_b3,23,A,-,act,APV,2908,4
IEM_b3,24,P,ok,pass,PAV,2802,4
RAI_a3,1,none,ok,act,APV,1671,5
RAI_a3,2,A,ok,act,PV,2859,5
RAI_a3,3,P,ok,act,APV,1741,5
RAI_a3,4,none,ok,act,APV,1746,5
RAI_a3,5,A,ok,act,APV,2627,5
RAI_a3,6,P,ok,pass,AV,2168,5
RAI_a3,7,none,ok,pass,PAV,3492,5
RAI_a3,8,A,ok,act,PV,4075,5
RAI_a3,9,P,ok,pass,AV,1482,5
RAI_a3,10,none,ok,act,APV,1842,5
RAI_a3,11,A,ok,act,PV,1753,5
RAI_a3,12,P,ok,pass,APV,1698,5
RAI_a3,13,none,ok,act,APV,1347,5
RAI_a3,14,A,ok,act,APV,3122,5
RAI_a3,15,P,ok,pass,AV,4213,5
RAI_a3,16,none,ok,act,APV,1882,5
RAI_a3,17,A,ok,act,APV,4911,5
RAI_a3,18,P,ok,pass,AV,2208,5
RAI_a3,19,none,ok,act,APV,1946,5
RAI_a3,20,A,ok,act,PV,5163,5
RAI_a3,21,P,ok,pass,AV,2283,5
RAI_a3,22,none,ok,act,APV,2049,5
RAI_a3,23,A,ok,act,PV,2286,5
RAI_a3,24,P,ok,pass,AV,1572,5
RAI_b2,1,P,ok,pass,AV,1298,5
RAI_b2,2,none,ok,act,APV,2297,5
RAI_b2,3,A,ok,act,APV,2016,5
RAI_b2,4,P,ok,pass,APV,2117,5
RAI_b2,5,none,ok,act,APV,2178,5
RAI_b2,6,A,ok,act,PV,1586,5
RAI_b2,7,P,ok,pass,AV,3300,5
RAI_b2,8,none,ok,act,APV,1737,5
RAI_b2,9,A,ok,act,PV,1261,5
