participant,referent,time_bin_start_ms,mean_prop,sd_prop,n_trial_bins,lower,upper
RAI,patient,850,0.185185,0.395847,27,0.032823,0.337547
RAI,patient,900,0.185185,0.395847,27,0.032823,0.337547
RAI,patient,950,0.170370,0.369672,27,0.028083,0.312657
RAI,patient,1000,0.147407,0.322783,27,0.023168,0.271647
RAI,patient,1050,0.171111,0.371787,27,0.028010,0.314212
RAI,patient,1100,0.162222,0.363417,27,0.022343,0.302101
RAI,patient,1150,0.258519,0.388683,27,0.108914,0.408123
RAI,patient,1200,0.365185,0.464016,27,0.186585,0.543785
RAI,patient,1250,0.405926,0.498947,27,0.213881,0.597971
RAI,patient,1300,0.411111,0.486315,27,0.223928,0.598294
RAI,patient,1350,0.462222,0.497759,27,0.270635,0.653810
RAI,patient,1400,0.497778,0.497171,27,0.306416,0.689139
RAI,patient,1450,0.475556,0.491695,27,0.286302,0.664809
RAI,patient,1500,0.476296,0.472865,27,0.294291,0.658302
RAI,patient,1550,0.468148,0.492537,27,0.278571,0.657726
RAI,patient,1600,0.476296,0.485039,27,0.289605,0.662988
RAI,patient,1650,0.432593,0.494528,27,0.242248,0.622937
RAI,patient,1700,0.456296,0.497286,27,0.264891,0.647702
RAI,patient,1750,0.494074,0.500025,27,0.301614,0.686534
RAI,patient,1800,0.481481,0.509175,27,0.285500,0.677463
RAI,patient,1850,0.439259,0.499861,27,0.246863,0.631656
RAI,patient,1900,0.407407,0.500712,27,0.214683,0.600131
RAI,patient,1950,0.401481,0.476491,27,0.218080,0.584883
RAI,patient,2000,0.343704,0.458695,27,0.167152,0.520256
RAI,patient,2050,0.354074,0.471978,27,0.172410,0.535739
RAI,patient,2100,0.365185,0.472883,27,0.183172,0.547198
RAI,patient,2150,0.292593,0.448215,27,0.120074,0.465111
RAI,patient,2200,0.272593,0.435507,27,0.104966,0.440219
RAI,patient,2250,0.243704,0.423031,27,0.080879,0.406528
RAI,patient,2300,0.280000,0.445697,27,0.108451,0.451549
RAI,patient,2350,0.297778,0.448325,27,0.125218,0.470338
RAI,patient,2400,0.317037,0.460892,27,0.139640,0.494435
RAI,patient,2450,0.371852,0.491004,27,0.182864,0.560839
RAI,patient,2500,0.385926,0.486552,27,0.198652,0.573200
RAI,patient,2550,0.380741,0.479181,27,0.196304,0.565178
RAI,patient,2600,0.405926,0.498947,27,0.213881,0.597971
RAI,patient,2650,0.373333,0.490024,27,0.184723,0.561943
RAI,patient,2700,0.405185,0.498107,27,0.213464,0.596907
RAI,patient,2750,0.370370,0.492103,27,0.180960,0.559781
RAI,patient,2800,0.374074,0.489578,27,0.185635,0.562513
RAI,patient,2850,0.397778,0.491288,27,0.208681,0.586875
RAI,patient,2900,0.384444,0.484985,27,0.197774,0.571115
RAI,patient,2950,0.399259,0.492106,27,0.209847,0.588671
RAI,patient,3000,0.352593,0.476918,27,0.169027,0.536158
RAI,patient,3050,0.396296,0.489428,27,0.207915,0.584677
RAI,patient,3100,0.367407,0.488393,27,0.179425,0.555390
RAI,patient,3150,0.371852,0.474204,27,0.189331,0.554373
RAI,patient,3200,0.383704,0.484245,27,0.197318,0.570090
RAI,patient,3250,0.391111,0.487674,27,0.203405,0.578817
RAI,patient,3300,0.340741,0.476574,27,0.157307,0.524174
RAI,patient,3350,0.274815,0.439636,27,0.105599,0.444031
RAI,patient,3400,0.316296,0.463699,27,0.137819,0.494774
RAI,patient,3450,0.343704,0.463831,27,0.165175,0.522233
SED,agent,0,0.510370,0.502344,27,0.317018,0.703723
SED,agent,50,0.516296,0.507120,27,0.321106,0.711487
SED,agent,100,0.518519,0.509175,27,0.322537,0.714500
SED,agent,150,0.519259,0.506951,27,0.324134,0.714385
SED,agent,200,0.495556,0.460579,27,0.318278,0.672833
SED,agent,250,0.333333,0.455631,27,0.157961,0.508706
SED,agent,300,0.299259,0.463614,27,0.120814,0.477704
SED,agent,350,0.344444,0.450242,27,0.171146,0.517743
SED,agent,400,0.465926,0.494767,27,0.275490,0.656362
SED,agent,450,0.517037,0.491143,27,0.327996,0.706078
SED,agent,500,0.574815,0.492797,27,0.385137,0.764493
SED,agent,550,0.658519,0.475522,27,0.475490,0.841547
SED,agent,600,0.700000,0.452378,27,0.525879,0.874121
SED,agent,650,0.754815,0.426203,27,0.590769,0.918860
SED,agent,700,0.830370,0.361679,27,0.691160,0.969581
SED,agent,750,0.783704,0.386066,27,0.635107,0.932301
SED,agent,800,0.777778,0.423659,27,0.614711,0.940844
SED,agent,850,0.751852,0.420046,27,0.590176,0.913528
SED,agent,900,0.705926,0.461963,27,0.528116,0.883736
