condition4,n,mean_rt_ms,sd_rt_ms,median_rt_ms,min_rt_ms,max_rt_ms,khanty_style_2se_ms
direct_1_1,208,2526.086538461538,1052.1190222210419,2244.5,1181,5866,145.90265701957705
direct_1_2,208,2595.66826923077,1091.2736699638685,2365,1051,5981,151.33242971609596
inverse_2_2,171,2591.4853801169593,1022.6953796174519,2310,1143,5867,156.4149406939803
inverse_2_1,196,2699.433673469389,1189.7398124040642,2351.5,1105,5903,169.96283034343773
