term,estimate_log_ms,std_error,df,t_value,p_value,ci_95_lower_log_ms,ci_95_upper_log_ms,ratio,percent_change,ci_95_lower_ratio,ci_95_upper_ratio
(Intercept),7.842525586603589,0.07194240438773691,20.307042434425405,109.01116877239653,1.373374916620996e-29,7.701521065042408,7.98353010816477,2546.6284494097795,254562.84494097796,2211.7095887747705,2932.264024290799
condition4direct_1_2,0.0280785330079795,0.053354439778502974,22.567632793891946,0.5262642270173853,0.6038387762878578,-0.07649424737319752,0.1326513133891565,1.0284764505992798,2.8476450599279834,0.9263582432667532,1.1418517804808912
condition4inverse_2_2,0.03823633992533079,0.05785454029474845,31.929958012379238,0.6609047402421685,0.5134141055658346,-0.07515647539449745,0.15162915524515902,1.0389767555527774,3.8976755552777353,0.9275983286576353,1.163728593755795
condition4inverse_2_1,0.08920592605404518,0.05440048343408499,43.8329531293384,1.639800244829306,0.10820500673075467,-0.017417062218329213,0.19582891432641958,1.093305773290569,9.330577329056911,0.9827337380414195,1.2163187928123316
