comparison,estimate_log_ms,std_error,df,t_value,p_value,ci_95_lower_log_ms,ci_95_upper_log_ms,ratio_a_to_b,percent_change_a_vs_b,ci_95_lower_ratio,ci_95_upper_ratio,n_a,n_b,singular_fit,convergence_messages
direct_1_1 vs direct_1_2,-0.024601575514400117,0.05220829907889679,21.496631174669734,-0.47121963267223854,0.6422309759491591,-0.12692796140313348,0.07772481037433324,0.9756985767999724,-2.4301423200027594,0.8807971217005087,1.0808251858629363,208,208,FALSE,"unable to evaluate scaled gradient | Model failed to converge: degenerate  Hessian with 1 negative eigenvalues
  See ?lme4::convergence and ?lme4::troubleshooting."
direct_1_1 vs inverse_2_2,-0.02690482319467762,0.0583796130870124,28.408059242127564,-0.4608599093415897,0.6484080013113,-0.1413267622766051,0.08751711588724985,0.9734538873465265,-2.654611265347351,0.8682055685137794,1.0914609456055615,208,171,FALSE,"Model is nearly unidentifiable: large eigenvalue ratio
 - Rescale variables?"
direct_1_1 vs inverse_2_1,-0.08804420787492374,0.05195344547254175,50.28227404877657,-1.6946750513679898,0.09632273676853138,-0.18987108987387108,0.013782674124023578,0.9157203937758666,-8.427960622413345,0.827065744221047,1.0138780930490494,208,196,TRUE,boundary (singular) fit: see help('isSingular')
direct_1_2 vs inverse_2_2,-0.011752660893243463,0.04877838422079015,51.66344147446945,-0.2409399384786158,0.8105553070357954,-0.10735653719004899,0.08385121540356207,0.9883161318627438,-1.1683868137256193,0.8982053722746223,1.0874670834205318,208,171,TRUE,boundary (singular) fit: see help('isSingular')
direct_1_2 vs inverse_2_1,-0.05667380429212274,0.04613651929417594,47.241104824009916,-1.228393584066429,0.2253840079790641,-0.14709972048074488,0.03375211189649939,0.9449022421572253,-5.509775784277471,0.8632078936180975,1.034328177296261,208,196,TRUE,boundary (singular) fit: see help('isSingular')
inverse_2_2 vs inverse_2_1,-0.04878695718823326,0.05531360579403376,51.04970302482114,-0.8820064519007641,0.38190756648702884,-0.15719963239958545,0.059625718023118925,0.9523840066536582,-4.761599334634181,0.8545334492256557,1.061439194629063,171,196,TRUE,boundary (singular) fit: see help('isSingular')
