model,term,estimate,ci_95_lower,ci_95_upper,p_beta_gt_0
agent_looks,Intercept,0.03190549384025209,-0.6174308024827633,0.6791268217041686,0.54475
agent_looks,polytimedegreeEQ31,-50.95691064073747,-73.66222491638533,-28.770206647204958,0
agent_looks,polytimedegreeEQ32,-3.950460056280231,-9.58161901410919,1.6790378611712133,0.084
agent_looks,polytimedegreeEQ33,-2.4471384707710517,-8.035186562819442,3.2927716338552004,0.19075
agent_looks,direct_vs_inverse,-0.31341345717746405,-0.5591672096359973,-0.07053009371703449,0.00875
agent_looks,polytimedegreeEQ31:direct_vs_inverse,-13.755817023224914,-24.03891093961414,-4.423623620768739,0.00325
agent_looks,polytimedegreeEQ32:direct_vs_inverse,5.3049924984946015,-0.21718135741043695,10.636626148347679,0.9715
agent_looks,polytimedegreeEQ33:direct_vs_inverse,-4.401006154552367,-9.848453448926639,1.0033403595282366,0.06175
patient_looks,Intercept,-0.907819117925966,-1.4841636281588706,-0.3361132020159742,0.002
patient_looks,polytimedegreeEQ31,47.54829670343522,31.50113694699061,64.7040853365005,1
patient_looks,polytimedegreeEQ32,-5.493173620021023,-11.281892101923829,0.5406527745586406,0.03725
patient_looks,polytimedegreeEQ33,15.05192497811859,9.640913464734181,20.499561275449498,1
patient_looks,direct_vs_inverse,0.3270191491688778,0.042423538438350936,0.6127890652489135,0.98625
patient_looks,polytimedegreeEQ31:direct_vs_inverse,1.3936392222262108,-11.769576445682652,15.021564261244976,0.58275
patient_looks,polytimedegreeEQ32:direct_vs_inverse,1.0544588923168465,-4.666090193116737,6.849322687542536,0.64725
patient_looks,polytimedegreeEQ33:direct_vs_inverse,-1.0957345387444815,-6.804033489889684,4.668826937722777,0.34975
