condition_key,contrast_id,comparison,participants,total_bins,trials
inverse_2_agents_1_patient_inanimate_patient,inverse_2_2_inanimate_vs_inverse_2_1_inanimate,"inverse 2 agents, 2 patients, inanimate patient vs inverse 2 agents, 1 patient, inanimate patient",16,1964,93
inverse_2_agents_2_patients_inanimate_patient,inverse_2_2_inanimate_vs_inverse_2_1_inanimate,"inverse 2 agents, 2 patients, inanimate patient vs inverse 2 agents, 1 patient, inanimate patient",14,1357,74
