condition_key,contrast_id,comparison,participants,lexical_items,total_bins,trials
inverse_2_agents_1_patient_animate_patient,inverse_2_2_animate_vs_inverse_2_1_animate,inverse 2-2 animate patient vs inverse 2-1 animate patient,15,15,2102,91
inverse_2_agents_2_patients_animate_patient,inverse_2_2_animate_vs_inverse_2_1_animate,inverse 2-2 animate patient vs inverse 2-1 animate patient,16,16,2019,89
