contrast_id,comparison,model,max_rhat,min_bulk_ess,min_tail_ess,worst_bulk_variable,worst_tail_variable
direct_1_1_animate_vs_inverse_2_2_animate,direct 1-1 animate patient vs inverse 2-2 animate patient,agent_looks,1.4597988637847206,7.921687686320007,103.58275526861935,sd_participant_condition__polytimedegreeEQ32,"r_participant_condition[К06.inverse_2_agents_2_patients_animate_patient,polytimedegreeEQ32]"
direct_1_1_animate_vs_inverse_2_2_animate,direct 1-1 animate patient vs inverse 2-2 animate patient,patient_looks,1.0239110150168897,118.44750176592702,224.55969564382863,"r_participant_condition[К24.direct_1_agent_1_patient_animate_patient,polytimedegreeEQ32]",cor_participant_condition__Intercept__polytimedegreeEQ31
