model,term,estimate_log_ms,ci_95_lower_log_ms,ci_95_upper_log_ms,p_beta_gt_0,ratio,ci_95_lower_ratio,ci_95_upper_ratio,percent_change,interpretation
direct_inverse,Intercept,7.905596883743802,7.757466625542448,8.057247520236906,1,2712.4210291400113,2338.9716022757807,3156.5897166728287,271142.10291400115,inverse log RT intercept
direct_inverse,direct,-0.040296179567864104,-0.10585065746663515,0.022312844040521477,0.10825,0.9605049150886137,0.8995589804619583,1.022563637375799,-3.9495084911386313,direct minus inverse on log RT scale
