condition4,estimated_log_rt,ci_95_lower_log_rt,ci_95_upper_log_rt,estimated_rt_ms,ci_95_lower_rt_ms,ci_95_upper_rt_ms
direct_1_1,7.848697688622619,7.694031186269142,8.003023439972255,2562.3951066602954,2195.20603403702,2989.9843730675293
direct_1_2,7.878328460384324,7.721474100518808,8.036034755136248,2639.456913472135,2256.2831184679367,3090.334928555699
inverse_2_2,7.886348295650994,7.729170321440254,8.04898311700256,2660.710032455606,2273.714965438426,3130.6098881673556
inverse_2_1,7.9275202749571685,7.7636474562485835,8.096423224585825,2772.54312860421,2353.4731594443374,3282.705551362711
