model,term,estimate_log_ms,ci_95_lower_log_ms,ci_95_upper_log_ms,p_beta_gt_0,ratio,ci_95_lower_ratio,ci_95_upper_ratio,percent_change,interpretation
fourway,Intercept,7.848697688622619,7.694031186269142,8.003023439972255,1,2562.3951066602954,2195.20603403702,2989.9843730675293,256139.51066602953,direct_1_1 log RT intercept
fourway,condition4direct_1_2,0.02963077176170564,-0.07094365307223241,0.13209473604789312,0.722,1.0300741312733301,0.9315143786222586,1.1412164284804593,3.007413127333014,direct_1_2 minus direct_1_1
fourway,condition4inverse_2_2,0.03765060702837546,-0.07190811105395703,0.14481517905289965,0.75275,1.0383683708807303,0.9306164052431078,1.155825929682995,3.8368370880730307,inverse_2_2 minus direct_1_1
fourway,condition4inverse_2_1,0.0788225863345499,-0.027493187063871556,0.18316874026125685,0.924,1.082012341265283,0.9728813107091058,1.2010170509142928,8.20123412652829,inverse_2_1 minus direct_1_1
