model,term,estimate,estimate_error,q2.5,q97.5,rhat,bulk_ess,tail_ess
direct_inverse,Intercept,7.905596883743802,0.07444806350077036,7.757466625542448,8.057247520236906,1.0078759311923744,907.8445722480463,1545.7517247737453
direct_inverse,direct,-0.040296179567864104,0.03271364393316328,-0.10585065746663513,0.022312844040521477,1.0007961792217959,3326.933059328627,3151.107183826174
fourway,Intercept,7.848697688622619,0.07831763248785867,7.694031186269143,8.003023439972255,1.0045313081043017,790.9706684939251,1245.7236370473577
fourway,condition4direct_1_2,0.02963077176170564,0.051563021515814315,-0.0709436530722324,0.13209473604789312,1.0004973527949232,2246.8254668059044,2544.9698667738135
fourway,condition4inverse_2_2,0.03765060702837546,0.05518035597041386,-0.07190811105395703,0.14481517905289965,1.0004238172610609,2402.0908362526206,2624.0059540556376
fourway,condition4inverse_2_1,0.0788225863345499,0.05448604635329437,-0.027493187063871553,0.18316874026125685,1.0006277457999182,2119.498710026665,2610.036970816013
