comparison,interpretation,estimate_log_ms,ci_95_lower_log_ms,ci_95_upper_log_ms,p_beta_gt_0,ratio,ci_95_lower_ratio,ci_95_upper_ratio,percent_change
direct_1_1 vs direct_1_2,direct_1_1 minus direct_1_2 on log RT scale,-0.029630771761705622,-0.13209473604789299,0.0709436530722324,0.278,0.9708039156015364,0.8762579779293133,1.0735207345688362,-2.919608439846355
direct_1_1 vs inverse_2_2,direct_1_1 minus inverse_2_2 on log RT scale,-0.037650607028375464,-0.14481517905289984,0.0719081110539572,0.24725,0.9630493647950902,0.8651821821251812,1.0745565996537176,-3.695063520490982
direct_1_1 vs inverse_2_1,direct_1_1 minus inverse_2_1 on log RT scale,-0.0788225863345499,-0.18316874026125718,0.027493187063871896,0.076,0.9242038762983245,0.8326276460760771,1.0278746122393168,-7.579612370167554
direct_1_2 vs inverse_2_2,direct_1_2 minus inverse_2_2 on log RT scale,-0.008019835266669805,-0.1184154804279,0.10344296658483611,0.44175,0.992012237814635,0.8883268934929094,1.1089825424996227,-0.798776218536501
direct_1_2 vs inverse_2_1,direct_1_2 minus inverse_2_1 on log RT scale,-0.04919181457284428,-0.16203053624497202,0.05754453998697649,0.18175,0.9519985049974408,0.850415235655775,1.0592324478035198,-4.800149500255923
inverse_2_2 vs inverse_2_1,inverse_2_2 minus inverse_2_1 on log RT scale,-0.041171979306174514,-0.16031608901603028,0.07447300116555736,0.244,0.9596640733935471,0.8518744782397643,1.0773162568463426,-4.033592660645291
