model,term,estimate,estimate_error,q2.5,q97.5,rhat,bulk_ess,tail_ess
agent_looks,Intercept,0.7962061192997069,0.23486087203055092,0.34427062621744153,1.266474282834764,1.0017366852333969,1523.1310053266525,2284.0737373130246
agent_looks,polytimedegreeEQ31,27.69062827331969,10.054357309700949,8.469723529726387,47.71076890464205,1.0001520713656065,2419.4873360414144,2581.187325085622
agent_looks,polytimedegreeEQ32,-2.539566328066501,2.6691608076658833,-7.8753034457187825,2.554550697352614,1.000726206828327,8292.333922675583,3252.1173284676615
agent_looks,polytimedegreeEQ33,-4.10845517530791,2.591027133862982,-9.07713905110878,0.8959071874304024,1.0016655634513647,6788.037530600694,2846.168049136217
agent_looks,direct_vs_inverse,0.06914552653256087,0.10624459089567743,-0.13766432331456346,0.28511499269508617,1.00068635740944,2306.874988752184,2256.092568467359
agent_looks,polytimedegreeEQ31:direct_vs_inverse,12.966331561114357,6.224232608859193,0.8953191051716419,25.891058718737515,1.0002857938896366,2380.2914926114618,2016.3151533677246
agent_looks,polytimedegreeEQ32:direct_vs_inverse,4.05432966904592,2.652547860174514,-1.0836229712686634,9.246577836665454,1.0003438098814745,7223.419793722114,3023.052465696454
agent_looks,polytimedegreeEQ33:direct_vs_inverse,-1.1661063974253325,2.6483670551340848,-6.462741121030362,4.07733421692738,1.0009895397506692,6970.916367808604,2852.489183817067
patient_looks,Intercept,-1.8184029447860055,0.3377141712931639,-2.490562746565611,-1.1607873038250673,1.0043128615802188,965.8343889950926,1684.758455418783
patient_looks,polytimedegreeEQ31,-54.628376110624984,11.935015441899308,-78.26798896228593,-31.2728049044176,1.0009266124068021,2039.5766630555877,2483.638949816421
patient_looks,polytimedegreeEQ32,10.1079344840207,2.9867217802134514,4.151996977872368,15.957703107783646,1.000078165989392,6753.0263830609965,2739.9462009713457
patient_looks,polytimedegreeEQ33,-2.1065917345116527,3.2402203973496224,-8.462351661391851,4.332147645703856,1.0002600560251476,7147.186680675543,2559.992889829958
patient_looks,direct_vs_inverse,0.002195754557270286,0.17001119315844687,-0.3272080821516369,0.34270435493407586,1.0019583532192224,1516.5913569353925,1917.9943503394893
patient_looks,polytimedegreeEQ31:direct_vs_inverse,-7.607494332723506,9.424507633902014,-26.280344680530074,10.851055410583793,1.0045524831649966,1411.650344823063,2016.0056111046001
patient_looks,polytimedegreeEQ32:direct_vs_inverse,-3.729633327011693,3.0351031038425162,-9.574954639945974,2.270688297986625,1.0008331314983558,7242.676742489535,2612.947041951741
patient_looks,polytimedegreeEQ33:direct_vs_inverse,3.4287289553453704,3.187152969332602,-2.997694564087384,9.723297382261267,1.0015398545895018,8153.562172618931,2918.9794311291294
