window_key,window,referent,time_rel,mean_prop,sd_prop,n_trial_bins,lower,upper
window2,Linguistic encoding I,patient,0.950000,0.532045,0.495067,44,0.382777,0.681314
window2,Linguistic encoding I,patient,1.000000,0.540376,0.494512,48,0.397622,0.683129
window3,Linguistic encoding II,agent,0.000000,0.355172,0.466691,58,0.232613,0.477732
window3,Linguistic encoding II,agent,0.050000,0.316923,0.466740,26,0.133853,0.499994
window3,Linguistic encoding II,agent,0.100000,0.249167,0.420541,48,0.127767,0.370566
window3,Linguistic encoding II,agent,0.150000,0.310638,0.446608,47,0.180349,0.440927
window3,Linguistic encoding II,agent,0.200000,0.310152,0.447069,44,0.175355,0.444948
window3,Linguistic encoding II,agent,0.250000,0.307500,0.462162,48,0.174085,0.440915
window3,Linguistic encoding II,agent,0.300000,0.328667,0.469262,45,0.188760,0.468574
window3,Linguistic encoding II,agent,0.350000,0.325000,0.460471,50,0.194759,0.455241
window3,Linguistic encoding II,agent,0.400000,0.369127,0.469839,42,0.224131,0.514123
window3,Linguistic encoding II,agent,0.450000,0.359184,0.472175,49,0.224277,0.494091
window3,Linguistic encoding II,agent,0.500000,0.348696,0.455473,46,0.214384,0.483007
window3,Linguistic encoding II,agent,0.550000,0.303542,0.456114,48,0.171873,0.435211
window3,Linguistic encoding II,agent,0.600000,0.347778,0.454647,36,0.196229,0.499327
window3,Linguistic encoding II,agent,0.650000,0.380131,0.470093,51,0.248478,0.511783
window3,Linguistic encoding II,agent,0.700000,0.306939,0.454749,49,0.177010,0.436867
window3,Linguistic encoding II,agent,0.750000,0.332558,0.465537,43,0.190571,0.474545
window3,Linguistic encoding II,agent,0.800000,0.296087,0.449743,46,0.163465,0.428709
window3,Linguistic encoding II,agent,0.850000,0.290417,0.454986,48,0.159073,0.421760
window3,Linguistic encoding II,agent,0.900000,0.290650,0.441148,47,0.161954,0.419346
window3,Linguistic encoding II,agent,0.950000,0.324091,0.468696,44,0.182774,0.465408
window3,Linguistic encoding II,agent,1.000000,0.320486,0.444670,48,0.192121,0.448851
window3,Linguistic encoding II,patient,0.000000,0.571379,0.480192,58,0.445275,0.697484
window3,Linguistic encoding II,patient,0.050000,0.665385,0.462949,26,0.483801,0.846968
window3,Linguistic encoding II,patient,0.100000,0.677083,0.447998,48,0.547758,0.806409
window3,Linguistic encoding II,patient,0.150000,0.557872,0.465921,47,0.421949,0.693795
window3,Linguistic encoding II,patient,0.200000,0.599848,0.475033,44,0.456620,0.743076
window3,Linguistic encoding II,patient,0.250000,0.616667,0.476071,48,0.479237,0.754097
window3,Linguistic encoding II,patient,0.300000,0.606222,0.486636,45,0.461135,0.751309
window3,Linguistic encoding II,patient,0.350000,0.620200,0.481267,50,0.484077,0.756323
window3,Linguistic encoding II,patient,0.400000,0.593730,0.472531,42,0.447904,0.739556
window3,Linguistic encoding II,patient,0.450000,0.600000,0.482683,49,0.462090,0.737910
window3,Linguistic encoding II,patient,0.500000,0.634783,0.449734,46,0.502163,0.767402
window3,Linguistic encoding II,patient,0.550000,0.646458,0.466077,48,0.511914,0.781003
window3,Linguistic encoding II,patient,0.600000,0.596667,0.470027,36,0.439991,0.753342
window3,Linguistic encoding II,patient,0.650000,0.549281,0.479515,51,0.414990,0.683572
window3,Linguistic encoding II,patient,0.700000,0.641429,0.478774,49,0.504636,0.778221
window3,Linguistic encoding II,patient,0.750000,0.580698,0.476017,43,0.435514,0.725882
window3,Linguistic encoding II,patient,0.800000,0.588696,0.475678,46,0.448426,0.728965
window3,Linguistic encoding II,patient,0.850000,0.617500,0.480861,48,0.478687,0.756313
window3,Linguistic encoding II,patient,0.900000,0.578499,0.469586,47,0.441507,0.715492
window3,Linguistic encoding II,patient,0.950000,0.553636,0.486062,44,0.407083,0.700190
window3,Linguistic encoding II,patient,1.000000,0.546360,0.491543,48,0.404464,0.688256
window4,"Post-onset, 0-1000 ms",agent,0.000000,0.423793,0.490406,58,0.295006,0.552580
window4,"Post-onset, 0-1000 ms",agent,0.050000,0.445172,0.490278,58,0.316419,0.573926
window4,"Post-onset, 0-1000 ms",agent,0.100000,0.417586,0.493993,58,0.287857,0.547315
window4,"Post-onset, 0-1000 ms",agent,0.150000,0.462414,0.490171,58,0.333689,0.591139
window4,"Post-onset, 0-1000 ms",agent,0.200000,0.466897,0.495036,58,0.336894,0.596899
