type,n_trials,n_participants,mean_speech_onset_ms,median_speech_onset_ms,min_speech_onset_ms,max_speech_onset_ms
act,414,33,2575.869565,2393.000000,892.000000,6444.000000
pass,168,33,2387.761905,2154.500000,1018.000000,5926.000000
