type,referent,time_ms,mean_prop,sd_prop,n_trial_bins,lower,upper
act,patient,1800,0.324237,0.458720,321,0.273030,0.375443
act,patient,1850,0.327577,0.460082,315,0.275731,0.379422
act,patient,1900,0.335359,0.464826,306,0.282215,0.388504
act,patient,1950,0.329586,0.455238,290,0.276121,0.383051
act,patient,2000,0.337921,0.457145,279,0.283184,0.392658
act,patient,2050,0.347116,0.468187,267,0.289811,0.404421
act,patient,2100,0.365923,0.472366,260,0.307333,0.424513
act,patient,2150,0.376984,0.472019,252,0.317515,0.436453
act,patient,2200,0.371630,0.468436,242,0.311406,0.431854
act,patient,2250,0.354381,0.471094,230,0.292255,0.416507
act,patient,2300,0.335364,0.460564,220,0.273261,0.397466
act,patient,2350,0.340000,0.464864,212,0.276146,0.403854
act,patient,2400,0.341055,0.461455,203,0.276279,0.405830
act,patient,2450,0.354354,0.465123,193,0.287393,0.421314
act,patient,2500,0.345934,0.466471,182,0.276780,0.415088
act,patient,2550,0.355819,0.471451,177,0.284946,0.426692
act,patient,2600,0.393216,0.478818,171,0.319984,0.466449
act,patient,2650,0.387342,0.479152,158,0.311103,0.463580
act,patient,2700,0.381447,0.484166,152,0.302905,0.459989
act,patient,2750,0.375775,0.473010,142,0.296386,0.455163
act,patient,2800,0.356826,0.466914,136,0.276751,0.436901
act,patient,2850,0.353231,0.467595,130,0.271209,0.435252
act,patient,2900,0.338525,0.465328,122,0.254267,0.422782
act,patient,2950,0.346609,0.464295,115,0.260017,0.433200
act,patient,3000,0.340917,0.467122,109,0.251433,0.430402
act,patient,3050,0.324340,0.464356,106,0.234135,0.414544
act,patient,3100,0.333913,0.462878,100,0.241337,0.426489
act,patient,3150,0.346526,0.460901,95,0.251952,0.441101
act,patient,3200,0.356170,0.468347,94,0.259558,0.452783
act,patient,3250,0.349438,0.478369,89,0.248024,0.450852
act,patient,3300,0.379797,0.474307,88,0.278674,0.480920
act,patient,3350,0.370000,0.473373,84,0.266702,0.473298
act,patient,3400,0.383143,0.477661,79,0.275661,0.490625
act,patient,3450,0.395135,0.479872,74,0.283567,0.506703
pass,agent,0,0.414286,0.481814,168,0.339940,0.488631
pass,agent,50,0.437381,0.487008,168,0.362234,0.512528
pass,agent,100,0.473690,0.497106,168,0.396985,0.550396
pass,agent,150,0.460595,0.469396,168,0.388166,0.533025
pass,agent,200,0.453810,0.453948,168,0.383764,0.523855
pass,agent,250,0.450119,0.473059,168,0.377125,0.523114
pass,agent,300,0.447976,0.487654,168,0.372730,0.523223
pass,agent,350,0.450476,0.479321,168,0.376515,0.524437
pass,agent,400,0.456429,0.480829,168,0.382235,0.530622
pass,agent,450,0.469405,0.486936,168,0.394269,0.544541
pass,agent,500,0.506071,0.492214,168,0.430121,0.582022
pass,agent,550,0.527976,0.484644,168,0.453194,0.602758
pass,agent,600,0.533333,0.488226,168,0.457998,0.608668
pass,agent,650,0.566310,0.485232,168,0.491437,0.641182
pass,agent,700,0.609762,0.471146,168,0.537063,0.682461
pass,agent,750,0.640952,0.460075,168,0.569961,0.711943
pass,agent,800,0.653810,0.460315,168,0.582781,0.724838
pass,agent,850,0.636071,0.471305,168,0.563348,0.708795
pass,agent,900,0.633571,0.468711,168,0.561248,0.705895
pass,agent,950,0.661310,0.460908,168,0.590190,0.732429
pass,agent,1000,0.660119,0.460822,168,0.589013,0.731225
pass,agent,1050,0.643593,0.466865,167,0.571339,0.715847
pass,agent,1100,0.640244,0.469768,164,0.566878,0.713609
pass,agent,1150,0.615302,0.467468,164,0.542296,0.688309
pass,agent,1200,0.590683,0.479244,161,0.515144,0.666223
pass,agent,1250,0.568025,0.480133,157,0.491388,0.644663
pass,agent,1300,0.583467,0.481110,150,0.504902,0.662032
pass,agent,1350,0.563221,0.484674,149,0.483809,0.642633
pass,agent,1400,0.528299,0.484131,147,0.448438,0.608160
pass,agent,1450,0.511458,0.491003,141,0.428758,0.594158
pass,agent,1500,0.484706,0.490914,136,0.400515,0.568897
pass,agent,1550,0.474394,0.493922,132,0.388413,0.560375
pass,agent,1600,0.453023,0.484592,129,0.367691,0.538355
pass,agent,1650,0.422520,0.485321,127,0.336389,0.508650
pass,agent,1700,0.437243,0.478796,124,0.351249,0.523238
pass,agent,1750,0.418319,0.475613,119,0.331121,0.505518
pass,agent,1800,0.418376,0.486434,114,0.327259,0.509493
pass,agent,1850,0.408649,0.489821,111,0.315665,0.501632
pass,agent,1900,0.400748,0.486737,107,0.306638,0.494857
pass,agent,1950,0.381333,0.473752,105,0.288867,0.473800
pass,agent,2000,0.387451,0.472616,102,0.293859,0.481043
pass,agent,2050,0.398163,0.474297,98,0.302341,0.493986
pass,agent,2100,0.372222,0.475151,90,0.272052,0.472393
pass,agent,2150,0.388235,0.484014,85,0.283238,0.493233
pass,agent,2200,0.417590,0.484686,83,0.311188,0.523993
pass,agent,2250,0.424810,0.489188,79,0.314734,0.534886
pass,agent,2300,0.443733,0.492898,75,0.329904,0.557563
pass,agent,2350,0.459167,0.488498,72,0.344027,0.574307
pass,agent,2400,0.495493,0.492320,71,0.378638,0.612348
pass,agent,2450,0.575758,0.498015,66,0.453155,0.698360
pass,agent,2500,0.579692,0.474203,65,0.462057,0.697328
pass,agent,2550,0.558750,0.484815,64,0.437546,0.679954
pass,agent,2600,0.599032,0.484655,62,0.475930,0.722135
pass,agent,2650,0.585810,0.483409,60,0.460994,0.710625
pass,agent,2700,0.565714,0.493119,56,0.433923,0.697506
pass,agent,2750,0.576923,0.498867,52,0.438562,0.715284
pass,agent,2800,0.544082,0.496806,49,0.402137,0.686026
pass,agent,2850,0.531739,0.485882,46,0.388460,0.675018
pass,agent,2900,0.542791,0.476667,43,0.397409,0.688173
pass,agent,2950,0.494146,0.493928,41,0.339869,0.648424
pass,agent,3000,0.482000,0.498877,40,0.324241,0.639759
pass,agent,3050,0.456316,0.497493,38,0.294908,0.617724
pass,agent,3100,0.495263,0.499544,38,0.333190,0.657337
pass,agent,3150,0.469091,0.497823,33,0.295771,0.642410
pass,agent,3200,0.467879,0.497618,33,0.294631,0.641127
pass,agent,3250,0.465806,0.498911,31,0.286592,0.645020
pass,agent,3300,0.503871,0.498114,31,0.324943,0.682799
pass,agent,3350,0.482143,0.495919,28,0.294703,0.669583
pass,agent,3400,0.468889,0.499979,27,0.276447,0.661331
pass,agent,3450,0.503077,0.506997,26,0.304216,0.701938
pass,patient,0,0.439643,0.485149,168,0.364783,0.514503
pass,patient,50,0.413690,0.480285,168,0.339581,0.487800
pass,patient,100,0.395000,0.483846,168,0.320341,0.469659
pass,patient,150,0.427143,0.461999,168,0.355855,0.498431
pass,patient,200,0.467024,0.456354,168,0.396607,0.537441
pass,patient,250,0.501429,0.478944,168,0.427526,0.575331
pass,patient,300,0.516786,0.486642,168,0.441695,0.591876
pass,patient,350,0.505952,0.481189,168,0.431703,0.580201
pass,patient,400,0.502143,0.484569,168,0.427372,0.576914
pass,patient,450,0.477500,0.485424,168,0.402597,0.552403
pass,patient,500,0.452976,0.489542,168,0.377438,0.528514
pass,patient,550,0.426548,0.478313,168,0.352742,0.500353
pass,patient,600,0.421071,0.485183,168,0.346206,0.495937
pass,patient,650,0.377619,0.472445,168,0.304719,0.450519
pass,patient,700,0.328929,0.455138,168,0.258699,0.399158
pass,patient,750,0.303690,0.440618,168,0.235702,0.371679
pass,patient,800,0.280238,0.437527,168,0.212726,0.347750
pass,patient,850,0.277619,0.439808,168,0.209755,0.345483
pass,patient,900,0.267857,0.430112,168,0.201489,0.334225
pass,patient,950,0.240357,0.420530,168,0.175468,0.305246
pass,patient,1000,0.240476,0.406892,168,0.177691,0.303261
pass,patient,1050,0.258922,0.426616,167,0.192897,0.324947
pass,patient,1100,0.267439,0.436501,164,0.199269,0.335609
pass,patient,1150,0.297259,0.435535,164,0.229240,0.365278
pass,patient,1200,0.337640,0.461191,161,0.264946,0.410334
pass,patient,1250,0.376051,0.473012,157,0.300550,0.451552
pass,patient,1300,0.356667,0.467863,150,0.280265,0.433068
pass,patient,1350,0.376779,0.474951,149,0.298959,0.454598
pass,patient,1400,0.389796,0.474935,147,0.311452,0.468140
pass,patient,1450,0.383972,0.475666,141,0.303855,0.464088
pass,patient,1500,0.414559,0.482908,136,0.331741,0.497377
pass,patient,1550,0.432121,0.487541,132,0.347251,0.516991
pass,patient,1600,0.423721,0.478185,129,0.339517,0.507925
pass,patient,1650,0.429298,0.485504,127,0.343135,0.515461
pass,patient,1700,0.472819,0.484848,124,0.385737,0.559900
pass,patient,1750,0.520504,0.481195,119,0.432282,0.608726
pass,patient,1800,0.530000,0.491883,114,0.437862,0.622138
pass,patient,1850,0.542162,0.495084,111,0.448180,0.636145
pass,patient,1900,0.513832,0.491731,107,0.418757,0.608907
pass,patient,1950,0.497143,0.485905,105,0.402304,0.591982
pass,patient,2000,0.465686,0.480918,102,0.370450,0.560922
pass,patient,2050,0.469388,0.485409,98,0.371320,0.567455
pass,patient,2100,0.447556,0.483206,90,0.345687,0.549424
pass,patient,2150,0.429412,0.489271,85,0.323274,0.535550
pass,patient,2200,0.472530,0.482288,83,0.366654,0.578406
pass,patient,2250,0.480253,0.489463,79,0.370115,0.590391
pass,patient,2300,0.472000,0.494620,75,0.357772,0.586228
pass,patient,2350,0.473611,0.490562,72,0.357984,0.589238
