variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
b_Intercept,0.6815151535698261,0.6841775819276783,0.18240989513299516,0.17628006592215828,0.38628018484796683,0.9774405120506895,1.0014525743704854,892.2623440933104,1148.2053305822903
b_time_c,-1.3489913994087606,-1.3364153028912202,0.4427680408692544,0.40461411598308133,-2.0752715139361984,-0.6578961126429324,1.007406769709736,878.9761602461518,1165.946971619413
b_time_c2,-1.3303404075484537,-1.3297930479124551,0.0797358681060857,0.07826476462036569,-1.4622927043200957,-1.199346348130673,1.0015898326805046,2886.570612635196,2311.263996910527
b_time_c3,8.073678461406187,8.076779638049505,0.3015831425256525,0.3003339298815894,7.577831441195471,8.571858331213944,0.999417694230514,2849.5697112351922,2178.717061169691
sd_item__Intercept,0.5578125973483362,0.5479400634010798,0.0881164053895793,0.080468063845952,0.43523881843816986,0.7216921246096886,1.0058095638912574,754.2415254126788,1246.4165011775394
sd_person__Intercept,0.5217459639890867,0.5042199244254205,0.11660795584993289,0.10561626741763888,0.36170321368510366,0.7380250525998985,1.0023908446809433,1020.1047791948969,1521.3878502860077
sd_person__time_c,1.5693277455528896,1.4977635422015825,0.3685287350853174,0.3289915573186153,1.0902708233416414,2.2526861739066906,1.003430615117234,1033.4816116488682,1500.5463370352365
Intercept,0.5529022211469519,0.5547700520400611,0.18219999607436027,0.17556661924082506,0.2609358644189539,0.846279222854006,1.0014332182707144,894.2003612522489,1119.943922014427
"r_item[1,Intercept]",0.5732092871937482,0.5720030858522065,0.11867945955896281,0.11372196026696076,0.3823407331537109,0.7747223701433927,1.0021695164612394,635.5610198900392,1042.1101138047047
"r_item[2,Intercept]",0.5754879002038679,0.5744661086079934,0.12009658710217268,0.11492602642430448,0.3833983790696011,0.7731586624991533,1.002111935981031,624.9567053391769,983.9605297772099
"r_item[3,Intercept]",0.870580748566973,0.8699804930892852,0.12239976808389531,0.1167577750166055,0.6748687659271495,1.0776874707290895,1.0026099725093538,636.6064250024745,1096.2301875503886
"r_item[4,Intercept]",0.8210785634797131,0.8203653608919357,0.12576207207473006,0.12094425368007758,0.6131349749941036,1.0327357257537098,1.0017671930008196,682.2384069665038,1181.7681440753613
"r_item[5,Intercept]",0.6246522684621518,0.6241430390642942,0.1191876741964097,0.11626419212850876,0.43467810118733946,0.8237773732713738,1.0020444782821718,608.5191645185624,906.3258875619723
