term,estimate,median,ci_95_lower,ci_95_upper,p_gt_0
Intercept,0.6815151535698261,0.6841775819276783,0.3148507298201737,1.041793212560029,0.99925
time_c,-1.3489913994087606,-1.3364153028912202,-2.2634399692031475,-0.5024660982359833,0.00225
time_c2,-1.3303404075484537,-1.3297930479124551,-1.4882007181038182,-1.175285890458684,0
time_c3,8.073678461406187,8.076779638049505,7.4900693323578595,8.65266553672751,1
