condition_key,contrast_id,comparison,participants,lexical_items,total_bins,trials
direct_1_agent_1_patient_animate_patient,direct_1_1_animate_vs_direct_1_2_animate,direct 1-1 animate patient vs direct 1-2 animate patient,16,14,2079,99
direct_1_agent_2_patients_animate_patient,direct_1_1_animate_vs_direct_1_2_animate,direct 1-1 animate patient vs direct 1-2 animate patient,16,15,2226,106
