window_key,window,sentence_type,condition_key,condition,filename_suffix,agent_num,patient_num,referent,time_rel,mean_prop,sd_prop,n_bins,lower,upper
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_1_patient,"1 agent, 1 patient",1_agent_1_patient,1,1,patient,0.400000,0.200518,0.381403,193,0.145610,0.255426
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_1_patient,"1 agent, 1 patient",1_agent_1_patient,1,1,patient,0.450000,0.166105,0.365340,190,0.113096,0.219114
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_1_patient,"1 agent, 1 patient",1_agent_1_patient,1,1,patient,0.500000,0.179192,0.374723,198,0.125931,0.232453
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_1_patient,"1 agent, 1 patient",1_agent_1_patient,1,1,patient,0.550000,0.156512,0.354139,172,0.102506,0.210517
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_1_patient,"1 agent, 1 patient",1_agent_1_patient,1,1,patient,0.600000,0.157157,0.353825,197,0.106739,0.207575
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_1_patient,"1 agent, 1 patient",1_agent_1_patient,1,1,patient,0.650000,0.137970,0.330861,197,0.090824,0.185115
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_1_patient,"1 agent, 1 patient",1_agent_1_patient,1,1,patient,0.700000,0.153886,0.355020,193,0.102776,0.204996
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_1_patient,"1 agent, 1 patient",1_agent_1_patient,1,1,patient,0.750000,0.152921,0.347097,178,0.100889,0.204953
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_1_patient,"1 agent, 1 patient",1_agent_1_patient,1,1,patient,0.800000,0.121182,0.319540,203,0.076328,0.166037
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_1_patient,"1 agent, 1 patient",1_agent_1_patient,1,1,patient,0.850000,0.154111,0.352274,180,0.101597,0.206625
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_1_patient,"1 agent, 1 patient",1_agent_1_patient,1,1,patient,0.900000,0.154315,0.353986,197,0.103874,0.204756
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_1_patient,"1 agent, 1 patient",1_agent_1_patient,1,1,patient,0.950000,0.144108,0.344491,185,0.093453,0.194763
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_1_patient,"1 agent, 1 patient",1_agent_1_patient,1,1,patient,1.000000,0.130369,0.333408,194,0.082494,0.178243
linguistic_encoding_1,Linguistic encoding I,direct,direct_1_agent_2_patients,"1 agent, 2 patients",1_agent_2_patients,1,2,agent,0.000000,0.607194,0.475865,198,0.539558,0.674831
