condition_key,contrast_id,comparison,participants,lexical_items,total_bins,trials
direct_1_agent_1_patient_animate_patient,direct_1_1_animate_vs_inverse_2_2_animate,direct 1-1 animate patient vs inverse 2-2 animate patient,16,14,2079,99
inverse_2_agents_2_patients_animate_patient,direct_1_1_animate_vs_inverse_2_2_animate,direct 1-1 animate patient vs inverse 2-2 animate patient,16,16,1869,89
