contrast_id,comparison,model,divergent_transitions,max_treedepth_hits
direct_1_1_animate_vs_inverse_2_2_animate,direct 1-1 animate patient vs inverse 2-2 animate patient,agent_looks,0,0
direct_1_1_animate_vs_inverse_2_2_animate,direct 1-1 animate patient vs inverse 2-2 animate patient,patient_looks,0,0
