participant,referent,time_bin_start_ms,mean_prop,sd_prop,n_trial_bins,lower,upper
PRM_b3,patient,450,0.600000,0.516398,10,0.273401,0.926599
PRM_b3,patient,500,0.618000,0.495890,10,0.304372,0.931628
PRM_b3,patient,550,0.620000,0.493964,10,0.307590,0.932410
PRM_b3,patient,600,0.554000,0.496928,10,0.239715,0.868285
PRM_b3,patient,650,0.438000,0.497322,10,0.123466,0.752534
PRM_b3,patient,700,0.400000,0.516398,10,0.073401,0.726599
PRM_b3,patient,750,0.336000,0.471480,10,0.037810,0.634190
PRM_b3,patient,800,0.320000,0.473286,10,0.020667,0.619333
PRM_b3,patient,850,0.370000,0.485455,10,0.062971,0.677029
PRM_b3,patient,900,0.280000,0.414836,10,0.017635,0.542365
PRM_b3,patient,950,0.200000,0.421637,10,0.000000,0.466667
PRM_b3,patient,1000,0.232000,0.386690,10,0.000000,0.476564
PRM_b3,patient,1050,0.264000,0.436226,10,0.000000,0.539894
PRM_b3,patient,1100,0.300000,0.483046,10,0.000000,0.605505
PRM_b3,patient,1150,0.336000,0.447591,10,0.052919,0.619081
PRM_b3,patient,1200,0.462000,0.493013,10,0.150191,0.773809
PRM_b3,patient,1250,0.500000,0.527046,10,0.166667,0.833333
PRM_b3,patient,1300,0.500000,0.527046,10,0.166667,0.833333
PRM_b3,patient,1350,0.488000,0.515640,10,0.161881,0.814119
PRM_b3,patient,1400,0.400000,0.516398,10,0.073401,0.726599
PRM_b3,patient,1450,0.328000,0.456869,10,0.039051,0.616949
PRM_b3,patient,1500,0.200000,0.421637,10,0.000000,0.466667
PRM_b3,patient,1550,0.170000,0.365300,10,0.000000,0.401036
PRM_b3,patient,1600,0.100000,0.316228,10,0.000000,0.300000
PRM_b3,patient,1650,0.168000,0.362117,10,0.000000,0.397023
PRM_b3,patient,1700,0.216000,0.416205,10,0.000000,0.479231
PRM_b3,patient,1750,0.380000,0.493964,10,0.067590,0.692410
PRM_b3,patient,1800,0.354000,0.475913,10,0.053006,0.654994
PRM_b3,patient,1850,0.322000,0.472765,10,0.022997,0.621003
PRM_b3,patient,1900,0.386000,0.499960,10,0.069798,0.702202
PRM_b3,patient,1950,0.368000,0.478442,10,0.065407,0.670593
PRM_b3,patient,2000,0.430000,0.471145,10,0.132022,0.727978
PRM_b3,patient,2050,0.576000,0.501092,10,0.259082,0.892918
PRM_b3,patient,2100,0.600000,0.516398,10,0.273401,0.926599
PRM_b3,patient,2150,0.552000,0.497031,10,0.237650,0.866350
PRM_b3,patient,2200,0.600000,0.516398,10,0.273401,0.926599
PRM_b3,patient,2250,0.530000,0.498643,10,0.214631,0.845369
PRM_b3,patient,2300,0.582000,0.503892,10,0.263311,0.900689
PRM_b3,patient,2350,0.570000,0.498999,10,0.254405,0.885595
PRM_b3,patient,2400,0.500000,0.527046,10,0.166667,0.833333
PRM_b3,patient,2450,0.480000,0.474131,10,0.180133,0.779867
PRM_b3,patient,2500,0.424000,0.501092,10,0.107082,0.740918
PRM_b3,patient,2550,0.428000,0.499618,10,0.112014,0.743986
PRM_b3,patient,2600,0.492000,0.519162,10,0.163653,0.820347
PRM_b3,patient,2650,0.400000,0.516398,10,0.073401,0.726599
PRM_b3,patient,2700,0.498000,0.524972,10,0.165979,0.830021
PRM_b3,patient,2750,0.534000,0.462846,10,0.241270,0.826730
PRM_b3,patient,2800,0.642000,0.477814,10,0.339804,0.944196
PRM_b3,patient,2850,0.660000,0.471876,10,0.361560,0.958440
PRM_b3,patient,2900,0.502000,0.524972,10,0.169979,0.834021
PRM_b3,patient,2950,0.608000,0.450402,10,0.323141,0.892859
PRM_b3,patient,3000,0.600000,0.516398,10,0.273401,0.926599
PRM_b3,patient,3050,0.530000,0.494885,10,0.217007,0.842993
PRM_b3,patient,3100,0.396000,0.511364,10,0.072585,0.719415
PRM_b3,patient,3150,0.382000,0.495890,10,0.068372,0.695628
PRM_b3,patient,3200,0.400000,0.516398,10,0.073401,0.726599
PRM_b3,patient,3250,0.436000,0.497621,10,0.121277,0.750723
PRM_b3,patient,3300,0.500000,0.527046,10,0.166667,0.833333
PRM_b3,patient,3350,0.420000,0.502881,10,0.101950,0.738050
PRM_b3,patient,3400,0.344444,0.492725,9,0.015961,0.672928
PRM_b3,patient,3450,0.333333,0.500000,9,0.000000,0.666667
RAI_b1,agent,0,0.330000,0.471522,10,0.031783,0.628217
RAI_b1,agent,50,0.436000,0.497621,10,0.121277,0.750723
RAI_b1,agent,100,0.500000,0.527046,10,0.166667,0.833333
RAI_b1,agent,150,0.484000,0.512406,10,0.159926,0.808074
RAI_b1,agent,200,0.450000,0.409254,10,0.191165,0.708835
RAI_b1,agent,250,0.584000,0.503569,10,0.265515,0.902485
RAI_b1,agent,300,0.488000,0.515640,10,0.161881,0.814119
RAI_b1,agent,350,0.500000,0.527046,10,0.166667,0.833333
RAI_b1,agent,400,0.468000,0.502456,10,0.150219,0.785781
RAI_b1,agent,450,0.554000,0.486808,10,0.246115,0.861885
RAI_b1,agent,500,0.588000,0.507385,10,0.267101,0.908899
RAI_b1,agent,550,0.500000,0.527046,10,0.166667,0.833333
RAI_b1,agent,600,0.590000,0.504843,10,0.270709,0.909291
RAI_b1,agent,650,0.728000,0.444542,10,0.446847,1.000000
RAI_b1,agent,700,0.800000,0.421637,10,0.533333,1.000000
RAI_b1,agent,750,0.800000,0.421637,10,0.533333,1.000000
RAI_b1,agent,800,0.800000,0.421637,10,0.533333,1.000000
RAI_b1,agent,850,0.800000,0.421637,10,0.533333,1.000000
RAI_b1,agent,900,0.800000,0.421637,10,0.533333,1.000000
RAI_b1,agent,950,0.812000,0.392508,10,0.563756,1.000000
RAI_b1,agent,1000,0.894000,0.314685,10,0.694976,1.000000
RAI_b1,agent,1050,0.900000,0.316228,10,0.700000,1.000000
RAI_b1,agent,1100,0.962000,0.120167,10,0.886000,1.000000
RAI_b1,agent,1150,0.820000,0.299333,10,0.630685,1.000000
RAI_b1,agent,1200,0.652000,0.473681,10,0.352418,0.951582
RAI_b1,agent,1250,0.600000,0.516398,10,0.273401,0.926599
RAI_b1,agent,1300,0.600000,0.516398,10,0.273401,0.926599
RAI_b1,agent,1350,0.600000,0.516398,10,0.273401,0.926599
