type,word_order,split,referent,time_bin_start_ms,mean_prop,sd_prop,n_trial_bins,lower,upper
act,APV,less_than_mean,patient,0,0.430103,0.483323,194,0.360702,0.499504
act,APV,less_than_mean,patient,50,0.441753,0.490590,194,0.371308,0.512197
act,APV,less_than_mean,patient,100,0.429175,0.488504,194,0.359030,0.499320
act,APV,less_than_mean,patient,150,0.422371,0.476469,194,0.353954,0.490788
act,APV,less_than_mean,patient,200,0.421340,0.451512,194,0.356507,0.486174
act,APV,less_than_mean,patient,250,0.470619,0.482473,194,0.401340,0.539898
act,APV,less_than_mean,patient,300,0.452577,0.481215,194,0.383479,0.521676
act,APV,less_than_mean,patient,350,0.431856,0.476779,194,0.363394,0.500317
act,APV,less_than_mean,patient,400,0.394124,0.475432,194,0.325856,0.462392
act,APV,less_than_mean,patient,450,0.359794,0.466427,194,0.292819,0.426769
act,APV,less_than_mean,patient,500,0.368763,0.474104,194,0.300686,0.436840
act,APV,less_than_mean,patient,550,0.360206,0.463168,194,0.293699,0.426713
act,APV,less_than_mean,patient,600,0.340103,0.463666,194,0.273524,0.406682
act,APV,less_than_mean,patient,650,0.307526,0.444167,194,0.243747,0.371304
act,APV,less_than_mean,patient,700,0.319691,0.459901,194,0.253653,0.385729
act,APV,less_than_mean,patient,750,0.300309,0.442590,194,0.236757,0.363861
act,APV,less_than_mean,patient,800,0.284330,0.444655,194,0.220481,0.348179
act,APV,less_than_mean,patient,850,0.262062,0.423971,194,0.201183,0.322941
act,APV,less_than_mean,patient,900,0.243402,0.414232,194,0.183922,0.302882
act,APV,less_than_mean,patient,950,0.235258,0.414156,194,0.175788,0.294727
act,APV,less_than_mean,patient,1000,0.255670,0.426712,194,0.194398,0.316942
act,APV,less_than_mean,patient,1050,0.267320,0.430219,194,0.205544,0.329095
act,APV,less_than_mean,patient,1100,0.256804,0.428145,194,0.195326,0.318282
act,APV,less_than_mean,patient,1150,0.245979,0.419545,194,0.185736,0.306223
act,APV,less_than_mean,patient,1200,0.266392,0.424030,194,0.205505,0.327279
act,APV,less_than_mean,patient,1250,0.276907,0.434090,194,0.214576,0.339239
act,APV,less_than_mean,patient,1300,0.286495,0.447182,194,0.222283,0.350706
act,APV,less_than_mean,patient,1350,0.294536,0.444668,194,0.230685,0.358387
act,APV,less_than_mean,patient,1400,0.280825,0.439589,194,0.217703,0.343946
act,APV,less_than_mean,patient,1450,0.292990,0.441125,194,0.229648,0.356332
act,APV,less_than_mean,patient,1500,0.294536,0.444635,194,0.230690,0.358382
act,APV,less_than_mean,patient,1550,0.285773,0.441105,194,0.222434,0.349112
act,APV,less_than_mean,patient,1600,0.314948,0.448437,194,0.250557,0.379340
act,APV,less_than_mean,patient,1650,0.335979,0.461062,194,0.269775,0.402184
act,APV,less_than_mean,patient,1700,0.343711,0.460910,194,0.277529,0.409894
act,APV,less_than_mean,patient,1750,0.349072,0.464477,194,0.282377,0.415767
act,APV,less_than_mean,patient,1800,0.332371,0.455720,194,0.266934,0.397809
act,APV,less_than_mean,patient,1850,0.324433,0.461580,194,0.258154,0.390712
act,APV,less_than_mean,patient,1900,0.344124,0.461989,194,0.277786,0.410461
act,APV,less_than_mean,patient,1950,0.378454,0.464923,194,0.311695,0.445213
act,APV,less_than_mean,patient,2000,0.394021,0.472718,194,0.326142,0.461899
act,APV,less_than_mean,patient,2050,0.412887,0.480277,194,0.343923,0.481850
act,APV,less_than_mean,patient,2100,0.424536,0.479192,194,0.355728,0.493344
act,APV,less_than_mean,patient,2150,0.444536,0.484624,194,0.374948,0.514124
act,APV,less_than_mean,patient,2200,0.451546,0.471297,194,0.383872,0.519221
act,APV,less_than_mean,patient,2250,0.484433,0.490772,194,0.413962,0.554904
act,APV,less_than_mean,patient,2300,0.482887,0.487183,194,0.412931,0.552842
act,APV,less_than_mean,patient,2350,0.494536,0.473147,194,0.426596,0.562476
act,APV,less_than_mean,patient,2400,0.483196,0.490655,194,0.412742,0.553650
act,APV,less_than_mean,patient,2450,0.497216,0.494767,194,0.426172,0.568261
act,APV,less_than_mean,patient,2500,0.521134,0.490013,194,0.450772,0.591496
act,APV,less_than_mean,patient,2550,0.531237,0.488567,194,0.461083,0.601391
act,APV,less_than_mean,patient,2600,0.545979,0.482559,194,0.476688,0.615271
act,APV,less_than_mean,patient,2650,0.538351,0.486490,194,0.468495,0.608206
act,APV,less_than_mean,patient,2700,0.522680,0.486503,194,0.452823,0.592538
act,APV,less_than_mean,patient,2750,0.519588,0.480155,194,0.450641,0.588534
act,APV,less_than_mean,patient,2800,0.523711,0.488363,194,0.453587,0.593836
act,APV,less_than_mean,patient,2850,0.511134,0.482180,194,0.441897,0.580371
act,APV,less_than_mean,patient,2900,0.540412,0.486621,194,0.470538,0.610287
act,APV,less_than_mean,patient,2950,0.559072,0.482344,194,0.489812,0.628333
act,APV,less_than_mean,patient,3000,0.574948,0.483357,194,0.505542,0.644355
act,APV,less_than_mean,patient,3050,0.565052,0.478280,194,0.496375,0.633729
