variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
b_Intercept,0.39567325624711897,0.394834579855059,0.23084470858990502,0.22034783388110687,0.0234148773336041,0.7759072018358291,1.0025919785375168,1031.0317507355487,1489.8799770367877
b_polytimedegreeEQ31,-4.8877516556869125,-4.944485143874605,8.897764667009481,8.655276379711356,-19.23210882571719,9.694854370390134,1.0029592847470812,1374.1599841839359,1893.1020104824506
b_polytimedegreeEQ32,-0.5994904994450936,-0.6145737563601852,3.3708131469394944,3.403540516979505,-6.129961315241205,4.860580678318841,1.0004196406606405,5619.458980926086,3249.9582759422847
b_polytimedegreeEQ33,15.85770901781191,15.833623033993891,3.381328540035416,3.2873456761649953,10.242288756940619,21.496791617717,0.9999823435716819,5973.018356366841,3309.37745420743
b_active_voice,-0.06941615491552615,-0.06881262263237323,0.09677418126736811,0.08763899333290552,-0.22795159271434084,0.08389080190626269,1.0050400861949207,1261.022702729394,2005.2363379283554
b_polytimedegreeEQ31:active_voice,1.4601869152287639,1.5021425104926414,3.4743527018327702,3.5627904765640483,-4.295538237274417,7.126240005597457,1.0007692228262184,6499.660655406836,2895.1658076010503
b_polytimedegreeEQ32:active_voice,3.2954228229435136,3.3259814519493918,3.3743327179991915,3.4040567121073058,-2.1423858494567347,8.75904124406207,1.000510072346836,4927.666031194493,3218.108169023761
b_polytimedegreeEQ33:active_voice,-1.078426676407485,-1.110651784008796,3.371008004330517,3.394702573749336,-6.568918262664503,4.460570301939975,1.0002007700850886,5194.104623877746,3287.858968572735
sd_item__Intercept,0.301090475662955,0.2955290859724138,0.05575270117440809,0.054002664199076865,0.2214151647572216,0.4037569239859482,1.0020817711235475,1367.8515287761752,2278.5081744049367
sd_person__Intercept,0.6211769583345947,0.5972860165376862,0.15166498827887054,0.13403906618018424,0.41794145169877356,0.9022118570471348,1.0017045103207471,1433.9401941146755,2102.5361056225456
sd_person__active_voice,0.30938322053115924,0.29616549504089934,0.08559546910291925,0.07686135469927372,0.1970475925211651,0.46461061816294036,1.0009079146395563,1597.0558548954234,2400.551075680082
sd_person__time,0.5362402422188397,0.5172472771124791,0.13332809329331935,0.12069113075333,0.356279437273136,0.7666460127145669,1.0012042399752161,1569.6588072599066,2180.720625349353
sigma,2.9636847520065963,2.963440533438316,0.018379466437363285,0.01762606019542065,2.9331551237600664,2.993847178845566,1.0009207052851794,8510.056864342487,2928.932059980162
Intercept,0.3635379902166857,0.3584694018788519,0.23404418017047762,0.2221181380083219,-0.012526498937325948,0.7498158752004573,1.0026718947005733,1016.742611935452,1320.2067511561247
"r_item[1,Intercept]",-0.12741459258267337,-0.12464547541066767,0.14422459157865122,0.14107233873141103,-0.3665229663676489,0.10588209764049626,1.0012395032485046,4455.232837220806,2917.9273314863194
"r_item[2,Intercept]",-0.18456035911411814,-0.18202591103904578,0.12650535308097527,0.1265210081223073,-0.3887286288464723,0.02255179190971658,1.0003629807676304,3462.059966295975,2998.77526743182
"r_item[3,Intercept]",-0.00808712975379844,-0.006199926254485448,0.12746136810678424,0.12673170986886884,-0.2182113048320972,0.19960335451871172,1.0010819763364276,4112.105753914119,3186.7179002887524
"r_item[4,Intercept]",0.26816030547691744,0.268248353555934,0.13313944350780718,0.1344044096898945,0.05111427513569557,0.486095498778678,1.0001187927301383,4127.895701017942,2824.417685316192
"r_item[5,Intercept]",0.054732688698143336,0.05389111794528783,0.1349839454985473,0.13656678317476492,-0.16951860468937663,0.27709384544014304,0.999566104110947,4210.753993081398,3147.258967497735
"r_item[6,Intercept]",-0.31107943102512003,-0.31096324716013335,0.13711205119328942,0.13509177086231688,-0.5386860044392109,-0.09056879814120407,0.9999744875988673,3720.738672513549,2926.344271545583
"r_item[7,Intercept]",0.29380880549898,0.29322890856461414,0.13047923897896482,0.1275661405438843,0.08398755516557578,0.5107104472804711,0.9997249266933811,3681.3814991069266,3063.16152022034
"r_item[8,Intercept]",0.13392078572176203,0.13236302263770355,0.12788003650767676,0.12673161550349715,-0.07391273021006788,0.34410587301697787,1.0009053226032658,4033.653559045413,2776.790510756752
"r_item[9,Intercept]",-0.49283212363034123,-0.4934779611257556,0.13750120638107752,0.13701536562160724,-0.7202021429977495,-0.2697512360889723,1.0015052489283953,4100.88175253996,3451.2179457973875
"r_item[10,Intercept]",-0.03836204936715249,-0.03677059761313002,0.12850140971920385,0.12674780052277632,-0.2510949132038973,0.16961975186393305,1.0002372750921504,3628.490059168687,3402.445868296039
"r_item[11,Intercept]",9.405383202979588e-4,-7.050587944297778e-4,0.14959201962056895,0.1478275651854581,-0.238837235921455,0.24572167447032717,1.0002647109561413,4805.906814629567,3117.384710267647
"r_item[12,Intercept]",-0.5444004617308187,-0.5443633561999106,0.1380888933495924,0.1389161649278985,-0.7734165360840669,-0.31989115220787623,1.000677676026927,3900.8253963198504,3476.053135508022
"r_item[13,Intercept]",0.35697908908420745,0.3541007879238832,0.135761023816323,0.13883050168510247,0.13941127434385464,0.5838359946086275,0.9997228452292566,3931.9192883027167,3034.7644650904153
"r_item[14,Intercept]",0.09432644707236029,0.0941043734584184,0.1311565211082617,0.13100880638553675,-0.11675818060600902,0.30972939983379333,1.0002769278301438,4251.566809140604,2744.518351557676
"r_item[15,Intercept]",0.22686856989399415,0.22684204669640468,0.13577435733758256,0.13456528939985518,0.007107894901914068,0.44912833226218624,1.000521185260016,4155.3468479913,2891.1063619354763
"r_item[16,Intercept]",0.2733631687484654,0.2722675127754179,0.1374246712781805,0.1379795026156727,0.05408334429971853,0.5066150181725738,0.9997861696395343,4468.394028626063,2971.10725018008
"r_item[17,Intercept]",0.2648296137234419,0.26420517327845316,0.14567828978389236,0.1443702048840744,0.03036285534105212,0.5014615591569656,1.0000986353614119,4489.91170866403,3025.2925629102087
"r_item[18,Intercept]",0.06846830741095107,0.06755968539291432,0.12030224586146954,0.11536884470531077,-0.12765404677047548,0.26913647953809877,0.9999044733214839,3603.7286151913736,3022.865646993191
"r_item[19,Intercept]",-0.23358033536849906,-0.2322447877497228,0.14011309858441265,0.1405461727466715,-0.4690731766936595,-0.008182251808552966,1.0024266298983153,4331.231044323579,2973.0823687556094
"r_item[20,Intercept]",-0.19189213341947495,-0.1912046766477814,0.11824912624893046,0.11904730452328442,-0.3888665608451917,0.0014992292433176112,1.0002224574074337,3150.4161456253682,2358.253381102615
"r_item[21,Intercept]",-0.020035556377173407,-0.021475958529757956,0.14064689687343512,0.1414365354361012,-0.25202137347568476,0.20845276504562718,0.9998102449621927,4094.61225855382,3002.169928867048
"r_item[22,Intercept]",0.2500107213226317,0.2508841860791905,0.14773604285958913,0.14666734752493044,0.005612509064862224,0.49437588229931395,1.0012034072174603,4493.725230643191,3079.6220369865146
"r_item[23,Intercept]",-0.3902625825477812,-0.3896965271009569,0.12787749389979383,0.1267602567653869,-0.6004231078450957,-0.17967218963782708,1.0013273088168915,3591.7240052320144,3178.50917423647
"r_item[24,Intercept]",0.20828487407158403,0.20632355235161792,0.127721929436452,0.1255019392006731,0.005678144966949275,0.4234177778699546,1.0013441604160316,4074.575554847806,2847.3004537553825
"r_person[1,Intercept]",0.5968186001325894,0.5999774605875974,0.24203595407477593,0.23747421470176108,0.19708572960763154,0.996362327343256,1.0010266933563423,2082.298695774054,3025.096681058164
"r_person[2,Intercept]",0.19341097077307,0.18727451132635942,0.2963082536503746,0.2879385909243361,-0.29301269811493774,0.6860034239724097,1.0006451982300595,2088.576571413722,2225.516606668962
"r_person[3,Intercept]",-0.5744707958734242,-0.5730799272152025,0.2289549592157999,0.22997105503218285,-0.9485690668291779,-0.1975835490773091,1.0017661360517838,1640.569306726025,2549.8787472717268
"r_person[4,Intercept]",0.91139833654709,0.9076640995266312,0.22828375965246303,0.22871647614893784,0.5452681612405609,1.287844543378824,1.0028235313479077,1581.5268665029273,2418.7027756944403
"r_person[5,Intercept]",-0.2079986459489878,-0.20703247478902395,0.28040932924306533,0.2732751135751888,-0.6706591244191102,0.24839335810741542,0.9999197166042217,2026.7567453209363,2571.3407473974307
"r_person[6,Intercept]",-0.11063112674629545,-0.11102513451076827,0.2470847912647944,0.2423118277460853,-0.5152945787725679,0.29625549624289976,1.0008520516540993,1861.81752206921,2731.338716622959
"r_person[7,Intercept]",0.4030464680858666,0.4024291741801822,0.23212933896388158,0.23052376963452087,0.01662120047962429,0.7764889779824892,1.002611589556539,1566.1542245766957,2532.320402637411
"r_person[8,Intercept]",-0.25747100304096343,-0.25782407995088374,0.21564370447786058,0.21074503889622048,-0.6132597434568244,0.0943980909068198,1.0013110664597629,1454.8070850602855,2070.6410033404145
"r_person[9,Intercept]",0.1339187996320238,0.13626628932532342,0.24166280231146833,0.234743424253471,-0.25459746923268367,0.5295121393090394,1.0006996231715328,1780.1545822664011,2416.5975708064234
"r_person[10,Intercept]",0.2417899364897593,0.24278351989522112,0.2750831168359673,0.27157470640956927,-0.20507907727784674,0.6909111439204538,1.0013584904415957,2074.999894755504,2637.7663058882854
"r_person[11,Intercept]",0.0785133297941434,0.08209088063810566,0.34306032820355836,0.34261202864148504,-0.4865542454744651,0.6369673718363802,1.00062733676259,2870.21436377855,3126.0217188204642
"r_person[12,Intercept]",-1.23913253590407,-1.232570418467846,0.24514993389885265,0.2367213417682477,-1.6632770796300023,-0.8460923367068407,1.0003754647231002,1810.778129624209,2590.7335504928856
"r_person[13,Intercept]",-0.2317049539735762,-0.23414443821435377,0.265496990365488,0.2652426178048973,-0.6673209213354493,0.2066014293408935,1.0023770948018957,2033.4313078575485,2527.5114956216094
"r_person[14,Intercept]",-0.1540842653560322,-0.15679963553425175,0.33207717229695954,0.33096680953528906,-0.6995891217766365,0.3932274350155995,1.0009477161661642,2815.904369038474,3059.89030675028
"r_person[1,active_voice]",0.47477335473876137,0.47006329912462885,0.13995619770111034,0.13727379355949207,0.25190216361843065,0.7125639783602894,1.0009581404887664,2397.1987103799884,3129.4561044067414
"r_person[2,active_voice]",0.2330095927406099,0.22780849316388907,0.17044520914434474,0.1736182265172024,-0.04145646595297241,0.5186982939028546,1.0026674641712696,2975.2088528243703,2867.5111436284383
"r_person[3,active_voice]",0.12172665549303507,0.11783645041441926,0.1214823640007922,0.11811089526420232,-0.07134868978550488,0.32558890658280404,1.0032521582524137,1771.8216429770378,2685.1176755009947
"r_person[4,active_voice]",-0.41800608537720096,-0.410350806244855,0.1319089310290344,0.12996192737024692,-0.6420844655576262,-0.20794929858029726,1.00264833262792,2154.349354211003,2746.257406023767
"r_person[5,active_voice]",-0.09519135275357261,-0.09746399144120273,0.15273863039954663,0.14979903490202365,-0.3456358041758406,0.15491569091087817,1.0016102293012703,2892.968730750493,2695.290177696364
"r_person[6,active_voice]",0.07868091328479951,0.07843934465472215,0.1323849794974245,0.12644409337428122,-0.13623667910257614,0.29980912820222727,1.0017111254525828,2006.128302100271,2667.511030950884
"r_person[7,active_voice]",0.09403917645554472,0.09040851197132584,0.12318606929916401,0.11831738661626526,-0.10335507769124375,0.30006543739919767,1.0040970083736651,1943.878793684337,2433.3543517310013
"r_person[8,active_voice]",-0.03993391435598328,-0.040666758593251154,0.12170571049534952,0.11678068395075564,-0.23469505219295908,0.1582802850957643,1.0028427529563027,1933.9698306878618,2377.322048102339
"r_person[9,active_voice]",-0.08630742887344638,-0.08838989975144276,0.13451881884836667,0.13141731523517022,-0.31483731047855357,0.1335067469107913,1.0025719440137582,2258.033396716733,2818.5636418644767
"r_person[10,active_voice]",-0.2210266142508526,-0.21818109644577624,0.15107312805636283,0.14838675475763258,-0.46491148380232633,0.027969202578213587,1.001194706270273,2753.864074706122,2924.596077621627
"r_person[11,active_voice]",-0.23799580880277427,-0.2313242079639724,0.203271335554649,0.19704249488680997,-0.569013145311003,0.08366359547954051,1.000488239105727,3802.880116868142,2985.6703284342
"r_person[12,active_voice]",6.119247601705177e-4,0.0016684832773359668,0.1419507748303327,0.14139202759134498,-0.23082994727286826,0.23557006661438779,1.001877727869076,2358.818465342773,2667.1861225590555
"r_person[13,active_voice]",0.37039751506388413,0.36549086978589396,0.16036972015903886,0.16043776865403137,0.11688523055446233,0.6392517409182019,1.001939336693058,2656.4155699199273,2839.372952765328
"r_person[14,active_voice]",-0.27087659386994006,-0.26269608097790165,0.22813692031372323,0.2202946275382632,-0.6726432862617631,0.08383695435103869,1.0015351480158556,3840.5753482037726,3222.94555614453
"r_person[1,time]",-0.8535960819249214,-0.8443016902158208,0.22211490691560612,0.21754909597167454,-1.2291625390837837,-0.5008661943103381,1.001191403538477,2047.1363446184344,2752.2732229733588
"r_person[2,time]",0.0033550350539493707,0.002385749743666909,0.2743698164347723,0.26860692038990847,-0.44274580205202574,0.4408161826990319,1.0011132866488077,2806.162045854257,2126.7262256646795
