time_bin50,ppt.no,type,cond,wo,item,sol,ppt_ids,agent.sum,pat.sum,N,person,sentence_type,active_voice,time_rel,time,log.agent,wts.agent
0,2,act,A,PV,8,2035,GVD_b3,49,0,49,2,act,1,0,0,4.59511985013459,2.0202020202020203
0,2,act,A,PV,11,1447,GVD_b3,49,0,49,2,act,1,0,0,4.59511985013459,2.0202020202020203
0,2,act,A,PV,15,2043,GVD_a2,0,49,49,2,act,1,0,0,-4.59511985013459,2.0202020202020203
0,2,act,none,APV,2,2604,GVD_a2,0,49,49,2,act,1,0,0,-4.59511985013459,2.0202020202020203
0,2,act,none,APV,4,2799,GVD_b3,49,0,49,2,act,1,0,0,4.59511985013459,2.0202020202020203
0,2,act,none,APV,13,1144,GVD_b3,49,0,49,2,act,1,0,0,4.59511985013459,2.0202020202020203
0,2,act,none,APV,14,6296,GVD_a2,49,0,49,2,act,1,0,0,4.59511985013459,2.0202020202020203
0,2,act,none,APV,23,1909,GVD_a2,0,49,49,2,act,1,0,0,-4.59511985013459,2.0202020202020203
0,2,pass,P,AP,10,1697,GVD_a2,49,0,49,2,pass,-1,0,0,4.59511985013459,2.0202020202020203
0,2,pass,P,APV,9,1829,GVD_b3,49,0,49,2,pass,-1,0,0,4.59511985013459,2.0202020202020203
0,2,pass,P,AV,1,1410,GVD_a2,0,49,49,2,pass,-1,0,0,-4.59511985013459,2.0202020202020203
0,2,pass,P,AV,3,1261,GVD_b3,49,0,49,2,pass,-1,0,0,4.59511985013459,2.0202020202020203
0,2,pass,P,AV,4,1735,GVD_a2,49,0,49,2,pass,-1,0,0,4.59511985013459,2.0202020202020203
0,2,pass,P,AV,6,1312,GVD_b3,0,49,49,2,pass,-1,0,0,-4.59511985013459,2.0202020202020203
0,2,pass,P,AV,7,1445,GVD_a2,49,0,49,2,pass,-1,0,0,4.59511985013459,2.0202020202020203
0,2,pass,P,PAV,18,2075,GVD_b3,0,49,49,2,pass,-1,0,0,-4.59511985013459,2.0202020202020203
0,2,pass,P,PAV,24,1546,GVD_b3,18,0,49,2,pass,-1,0,0,-0.5322168137473082,0.0858000858000858
0,3,act,A,APV,1,2361,IEM_a1,0,0,49,3,act,1,0,0,-4.59511985013459,2.0202020202020203
0,3,act,A,APV,2,2640,IEM_b3,0,0,49,3,act,1,0,0,-4.59511985013459,2.0202020202020203
0,3,act,A,APV,3,2219,IEM_a2,49,0,49,3,act,1,0,0,4.59511985013459,2.0202020202020203
0,3,act,A,APV,5,2071,IEM_b3,0,49,49,3,act,1,0,0,-4.59511985013459,2.0202020202020203
0,3,act,A,APV,7,1992,IEM_a1,49,0,49,3,act,1,0,0,4.59511985013459,2.0202020202020203
0,3,act,A,APV,10,2298,IEM_a1,0,49,49,3,act,1,0,0,-4.59511985013459,2.0202020202020203
0,3,act,A,APV,12,3360,IEM_a2,49,0,49,3,act,1,0,0,4.59511985013459,2.0202020202020203
0,3,act,A,APV,13,2903,IEM_a1,30,0,49,3,act,1,0,0,0.44731221804366483,0.08406893652795291
0,3,act,A,APV,14,2626,IEM_b3,49,0,49,3,act,1,0,0,4.59511985013459,2.0202020202020203
0,3,act,A,APV,16,1710,IEM_a1,49,0,49,3,act,1,0,0,4.59511985013459,2.0202020202020203
0,3,act,A,APV,17,2483,IEM_b3,0,49,49,3,act,1,0,0,-4.59511985013459,2.0202020202020203
0,3,act,A,APV,18,4486,IEM_a2,0,49,49,3,act,1,0,0,-4.59511985013459,2.0202020202020203
0,3,act,A,APV,19,1822,IEM_a1,43,6,49,3,act,1,0,0,1.900958761193047,0.1768346595932803
0,3,act,A,APV,20,4405,IEM_b3,0,49,49,3,act,1,0,0,-4.59511985013459,2.0202020202020203
0,3,act,A,APV,21,2650,IEM_a2,0,0,49,3,act,1,0,0,-4.59511985013459,2.0202020202020203
0,3,act,A,APV,22,1908,IEM_a1,49,0,49,3,act,1,0,0,4.59511985013459,2.0202020202020203
0,3,act,A,APV,24,1867,IEM_a2,0,0,49,3,act,1,0,0,-4.59511985013459,2.0202020202020203
0,3,act,A,PV,9,2383,IEM_a2,0,49,49,3,act,1,0,0,-4.59511985013459,2.0202020202020203
0,3,act,P,APV,5,1900,IEM_a1,0,49,49,3,act,1,0,0,-4.59511985013459,2.0202020202020203
0,3,act,P,APV,10,2394,IEM_a2,19,30,49,3,act,1,0,0,-0.4473122180436648,0.08406893652795291
0,3,act,P,APV,12,2840,IEM_b3,4,36,49,3,act,1,0,0,-2.3136349291806306,0.2442002442002442
0,3,act,P,APV,14,2046,IEM_a1,49,0,49,3,act,1,0,0,4.59511985013459,2.0202020202020203
0,3,act,P,P-APV,16,2013,IEM_a2,49,0,49,3,act,1,0,0,4.59511985013459,2.0202020202020203
0,3,act,none,APV,1,1349,IEM_b3,0,49,49,3,act,1,0,0,-4.59511985013459,2.0202020202020203
0,3,act,none,APV,2,3458,IEM_a2,49,0,49,3,act,1,0,0,4.59511985013459,2.0202020202020203
0,3,act,none,APV,3,2258,IEM_a1,49,0,49,3,act,1,0,0,4.59511985013459,2.0202020202020203
0,3,act,none,APV,5,2646,IEM_a2,0,49,49,3,act,1,0,0,-4.59511985013459,2.0202020202020203
0,3,act,none,APV,6,1699,IEM_a1,49,0,49,3,act,1,0,0,4.59511985013459,2.0202020202020203
0,3,act,none,APV,7,1893,IEM_b3,49,0,49,3,act,1,0,0,4.59511985013459,2.0202020202020203
0,3,act,none,APV,8,2287,IEM_a2,49,0,49,3,act,1,0,0,4.59511985013459,2.0202020202020203
0,3,act,none,APV,9,3144,IEM_a1,0,0,49,3,act,1,0,0,-4.59511985013459,2.0202020202020203
0,3,act,none,APV,10,3594,IEM_b3,9,40,49,3,act,1,0,0,-1.4500101755059984,0.1299545159194282
0,3,act,none,APV,11,2050,IEM_a2,49,0,49,3,act,1,0,0,4.59511985013459,2.0202020202020203
0,3,act,none,APV,12,2371,IEM_a1,49,0,49,3,act,1,0,0,4.59511985013459,2.0202020202020203
0,3,act,none,APV,13,3136,IEM_b3,49,0,49,3,act,1,0,0,4.59511985013459,2.0202020202020203
0,3,act,none,APV,16,3056,IEM_b3,49,0,49,3,act,1,0,0,4.59511985013459,2.0202020202020203
0,3,act,none,APV,19,3429,IEM_b3,0,49,49,3,act,1,0,0,-4.59511985013459,2.0202020202020203
0,3,act,none,APV,20,3801,IEM_a2,0,49,49,3,act,1,0,0,-4.59511985013459,2.0202020202020203
0,3,act,none,APV,21,2868,IEM_a1,36,0,49,3,act,1,0,0,0.994622575144062,0.10147133434804667
0,3,act,none,APV,22,3001,IEM_b3,0,49,49,3,act,1,0,0,-4.59511985013459,2.0202020202020203
0,3,act,none,APV,23,3878,IEM_a2,0,26,49,3,act,1,0,0,-4.59511985013459,2.0202020202020203
0,3,act,none,APV,24,1348,IEM_a1,49,0,49,3,act,1,0,0,4.59511985013459,2.0202020202020203
0,3,pass,P,A-PAV,8,1977,IEM_a1,49,0,49,3,pass,-1,0,0,4.59511985013459,2.0202020202020203
0,3,pass,P,A-PAV,21,1884,IEM_b3,49,0,49,3,pass,-1,0,0,4.59511985013459,2.0202020202020203
0,3,pass,P,APV,23,3133,IEM_a1,49,0,49,3,pass,-1,0,0,4.59511985013459,2.0202020202020203
0,3,pass,P,AV,2,1503,IEM_a1,49,0,49,3,pass,-1,0,0,4.59511985013459,2.0202020202020203
0,3,pass,P,AVP,9,1792,IEM_b3,0,49,49,3,pass,-1,0,0,-4.59511985013459,2.0202020202020203
0,3,pass,P,PAV,1,2430,IEM_a2,0,0,49,3,pass,-1,0,0,-4.59511985013459,2.0202020202020203
0,3,pass,P,PAV,13,2968,IEM_a2,29,0,49,3,pass,-1,0,0,0.3639653772014116,0.08267879288962382
0,3,pass,P,PAV,15,3484,IEM_b3,49,0,49,3,pass,-1,0,0,4.59511985013459,2.0202020202020203
0,3,pass,P,PAV,18,3821,IEM_b3,0,49,49,3,pass,-1,0,0,-4.59511985013459,2.0202020202020203
0,3,pass,P,PAV,19,2749,IEM_a2,0,49,49,3,pass,-1,0,0,-4.59511985013459,2.0202020202020203
0,3,pass,P,PAV,20,2589,IEM_a1,0,49,49,3,pass,-1,0,0,-4.59511985013459,2.0202020202020203
0,3,pass,P,PAV,22,2716,IEM_a2,0,49,49,3,pass,-1,0,0,-4.59511985013459,2.0202020202020203
0,3,pass,P,PAV,24,2802,IEM_b3,49,0,49,3,pass,-1,0,0,4.59511985013459,2.0202020202020203
0,3,pass,P,PVA,6,4730,IEM_b3,0,49,49,3,pass,-1,0,0,-4.59511985013459,2.0202020202020203
0,3,pass,none,PVA,17,3889,IEM_a2,0,49,49,3,pass,-1,0,0,-4.59511985013459,2.0202020202020203
0,4,act,A,APV,1,2172,IMI_b1,49,0,49,4,act,1,0,0,4.59511985013459,2.0202020202020203
0,4,act,A,APV,4,2676,IMI_b1,49,0,49,4,act,1,0,0,4.59511985013459,2.0202020202020203
0,4,act,A,APV,5,1713,IMI_a3,0,49,49,4,act,1,0,0,-4.59511985013459,2.0202020202020203
0,4,act,A,APV,7,3033,IMI_b1,49,0,49,4,act,1,0,0,4.59511985013459,2.0202020202020203
0,4,act,A,APV,8,2176,IMI_a3,49,0,49,4,act,1,0,0,4.59511985013459,2.0202020202020203
0,4,act,A,APV,10,4575,IMI_b1,16,33,49,4,act,1,0,0,-0.7081850579244858,0.09045680687471733
0,4,act,A,APV,12,4871,IMI_b2,49,0,49,4,act,1,0,0,4.59511985013459,2.0202020202020203
0,4,act,A,APV,13,2482,IMI_b1,49,0,49,4,act,1,0,0,4.59511985013459,2.0202020202020203
0,4,act,A,APV,14,2258,IMI_a3,49,0,49,4,act,1,0,0,4.59511985013459,2.0202020202020203
0,4,act,A,APV,15,1977,IMI_b2,49,0,49,4,act,1,0,0,4.59511985013459,2.0202020202020203
0,4,act,A,APV,16,2396,IMI_b1,0,49,49,4,act,1,0,0,-4.59511985013459,2.0202020202020203
0,4,act,A,APV,17,4333,IMI_a3,32,17,49,4,act,1,0,0,0.6190392084062235,0.0879120879120879
0,4,act,A,APV,18,4237,IMI_b2,0,49,49,4,act,1,0,0,-4.59511985013459,2.0202020202020203
