window_key,window,participant,image,sentence_type,condition_key,condition,agent_num,patient_num,patient_animacy,rt
linguistic_encoding_1,Linguistic encoding I,К05,carry-1-1-r.png,direct,inanimate,inanimate patient,1,1,inanimate,3434.000000
linguistic_encoding_1,Linguistic encoding I,К05,clean-1-1-r.png,direct,inanimate,inanimate patient,2,2,inanimate,2979.000000
linguistic_encoding_1,Linguistic encoding I,К05,cover-1-2-l.png,direct,inanimate,inanimate patient,1,2,inanimate,2053.000000
linguistic_encoding_1,Linguistic encoding I,К05,cut_hair-1-1-r.png,direct,animate,animate patient,1,1,animate,1737.000000
linguistic_encoding_1,Linguistic encoding I,К05,cut_hair-2-1-l.png,inverse,animate,animate patient,2,1,animate,1498.000000
linguistic_encoding_1,Linguistic encoding I,К05,dress-1-1-r.png,direct,animate,animate patient,1,1,animate,1572.000000
linguistic_encoding_1,Linguistic encoding I,К05,feed-1-1-r.png,direct,animate,animate patient,1,1,animate,1324.000000
linguistic_encoding_1,Linguistic encoding I,К05,feed-2-1-l.png,inverse,animate,animate patient,2,1,animate,1887.000000
linguistic_encoding_1,Linguistic encoding I,К05,give_water-1-2-l.png,direct,animate,animate patient,1,2,animate,3147.000000
linguistic_encoding_1,Linguistic encoding I,К05,give_water-2-2-r.png,inverse,animate,animate patient,2,2,animate,3574.000000
linguistic_encoding_1,Linguistic encoding I,К05,hang-1-1-r.png,direct,inanimate,inanimate patient,1,1,inanimate,2095.000000
linguistic_encoding_1,Linguistic encoding I,К05,hang-2-1-l.png,inverse,inanimate,inanimate patient,2,1,inanimate,2323.000000
linguistic_encoding_1,Linguistic encoding I,К05,hit-2-2-r.png,inverse,animate,animate patient,2,2,animate,2569.000000
linguistic_encoding_1,Linguistic encoding I,К05,open-1-1-r.png,direct,inanimate,inanimate patient,1,1,inanimate,1810.000000
linguistic_encoding_1,Linguistic encoding I,К05,open-2-1-l.png,inverse,inanimate,inanimate patient,2,1,inanimate,1658.000000
linguistic_encoding_1,Linguistic encoding I,К05,paint-1-1-r.png,direct,inanimate,inanimate patient,1,1,inanimate,2316.000000
linguistic_encoding_1,Linguistic encoding I,К05,paint-2-1-l.png,inverse,inanimate,inanimate patient,2,1,inanimate,1471.000000
linguistic_encoding_1,Linguistic encoding I,К05,pick-1-2-l.png,direct,inanimate,inanimate patient,1,2,inanimate,1583.000000
linguistic_encoding_1,Linguistic encoding I,К05,pick-2-2-r.png,direct,inanimate,inanimate patient,2,2,inanimate,3131.000000
linguistic_encoding_1,Linguistic encoding I,К05,plant-1-2-l.png,direct,inanimate,inanimate patient,1,2,inanimate,1461.000000
linguistic_encoding_1,Linguistic encoding I,К05,plant-2-2-r.png,inverse,inanimate,inanimate patient,2,2,inanimate,2656.000000
linguistic_encoding_1,Linguistic encoding I,К05,pour-1-1-r.png,direct,animate,animate patient,1,1,animate,2523.000000
linguistic_encoding_1,Linguistic encoding I,К05,pour-2-1-l.png,inverse,animate,animate patient,2,1,animate,1459.000000
linguistic_encoding_1,Linguistic encoding I,К05,pull-1-2-l.png,direct,inanimate,inanimate patient,1,2,inanimate,2458.000000
linguistic_encoding_1,Linguistic encoding I,К05,push-1-1-r.png,direct,animate,animate patient,1,1,animate,1941.000000
