participant,image,sentence_type,condition_key,condition,agent_num,patient_num,patient_animacy,rt,matched_accuracy,matched_by,vf_acc,vn_acc,pn_acc,is_error_form,error_fields,excluded_from_graphs
К01,saw-2-2-r.png,inverse,inanimate,inanimate patient,2,2,inanimate,3049.000000,yes,participant_image,1,0,1,yes,vn_acc,yes
К01,shoot-2-1-l.png,inverse,animate,animate patient,2,1,animate,1707.000000,yes,participant_image,1,1,1,no,,no
К01,open-1-2-l.png,direct,inanimate,inanimate patient,1,2,inanimate,1486.000000,yes,participant_image,1,1,0,yes,pn_acc,yes
К01,treat-2-2-r.png,inverse,animate,animate patient,2,2,animate,2785.000000,yes,participant_image,1,1,1,no,,no
К01,throw-1-1-r.png,direct,inanimate,inanimate patient,2,1,inanimate,1962.000000,yes,participant_image,1,1,1,no,,no
К01,scold-1-2-l.png,direct,animate,animate patient,2,1,animate,1246.000000,yes,participant_image,1,1,1,no,,no
К01,cover-2-1-l.png,inverse,inanimate,inanimate patient,2,1,inanimate,2146.000000,yes,participant_image,1,1,1,no,,no
К01,hit-1-1-r.png,direct,animate,animate patient,1,1,animate,1851.000000,yes,participant_image,1,1,1,no,,no
К01,paint-2-2-r.png,inverse,inanimate,inanimate patient,2,2,inanimate,1792.000000,no,,,,,no,,no
К01,call-2-2-r.png,inverse,animate,animate patient,2,2,animate,2507.000000,yes,participant_image,1,1,1,no,,no
К01,break-1-1-r.png,direct,inanimate,inanimate patient,1,1,inanimate,2002.000000,yes,participant_image,1,1,1,no,,no
К01,feed-2-1-l.png,inverse,animate,animate patient,2,1,animate,1447.000000,yes,participant_image,1,1,1,no,,no
К01,eat-1-2-l.png,direct,inanimate,inanimate patient,1,2,inanimate,4155.000000,yes,participant_image,1,1,1,no,,no
К01,wake-1-1-r.png,direct,animate,animate patient,1,1,animate,2753.000000,yes,participant_image,1,1,1,no,,no
К01,pick-2-2-r.png,inverse,inanimate,inanimate patient,2,2,inanimate,2154.000000,yes,participant_image,1,1,1,no,,no
К01,makelaugh-1-2-l.png,direct,animate,animate patient,1,2,animate,2868.000000,yes,participant_image,1,1,1,no,,no
К01,carry-2-1-l.png,inverse,inanimate,inanimate patient,2,1,inanimate,1842.000000,yes,participant_image,1,1,0,yes,pn_acc,yes
К01,open-1-1-r.png,direct,inanimate,inanimate patient,1,1,inanimate,1254.000000,yes,participant_image,1,1,1,no,,no
К01,dress-2-1-l.png,inverse,animate,animate patient,2,1,animate,2345.000000,yes,participant_image,1,1,1,no,,no
К01,throw-1-2-l.png,direct,inanimate,inanimate patient,1,2,inanimate,2695.000000,yes,participant_image,1,1,1,no,,no
К01,cut_hair-1-1-r.png,direct,animate,animate patient,1,1,animate,1471.000000,yes,participant_image,1,1,1,no,,no
К01,cover-2-2-r.png,inverse,inanimate,inanimate patient,2,2,inanimate,3917.000000,yes,participant_image,1,1,1,no,,no
К01,wash-1-2-l.png,direct,animate,animate patient,1,2,animate,1592.000000,yes,participant_image,1,1,1,no,,no
К01,give_water-2-2-r.png,inverse,animate,animate patient,2,2,animate,2241.000000,yes,participant_image,1,1,1,no,,no
К01,clean-1-1-r.png,direct,inanimate,inanimate patient,2,2,inanimate,2325.000000,yes,participant_image,1,1,1,no,,no
К01,push-2-1-l.png,inverse,animate,animate patient,2,1,animate,1873.000000,yes,participant_image,1,1,1,no,,no
К01,water-1-2-l.png,direct,inanimate,inanimate patient,1,2,inanimate,1903.000000,yes,participant_image,1,1,1,no,,no
К01,pour-1-1-r.png,direct,animate,animate patient,1,1,animate,1932.000000,yes,participant_image,1,1,1,no,,no
