condition_key,contrast_id,comparison,participants,lexical_items,total_bins,trials
direct_1_agent_1_patient_inanimate_patient,direct_1_1_inanimate_vs_direct_1_2_inanimate,direct 1-1 inanimate patient vs direct 1-2 inanimate patient,16,13,1860,95
direct_1_agent_2_patients_inanimate_patient,direct_1_1_inanimate_vs_direct_1_2_inanimate,direct 1-1 inanimate patient vs direct 1-2 inanimate patient,15,15,1894,92
